user_id,amount,payment_status,payment_method,failure_reason,plan_name,billing_cycle,plan_price,start_date,renewal_date,subscription_status,country,company_size,user_status,event_type,resolution_status,login_count,feature_usage_score,last_active_date,premium_feature_used
4883,1999,Success,Card,,Pro,Monthly,1999,2022-09-13,2023-09-13,Expired,UK,SMB,Active,,,50,69,2024-09-12,Yes
3456,1999,Success,Card,Timeout,Basic,Monthly,999,2022-03-24,2022-04-23,Active,USA,SMB,Active,Downgrade,Closed,96,76,2024-09-18,No
3483,3999,Success,Card,,Pro,Monthly,1999,2023-05-30,2023-06-29,Expired,UK,Enterprise,Active,,,63,48,2024-10-01,Yes
1835,999,Failed,Card,Timeout,Basic,Annual,999,2023-02-17,2024-02-17,Cancelled,India,Enterprise,Active,Complaint,Open,61,49,2024-10-25,No
3353,3999,Success,Card,Gateway Error,Premium,Annual,3999,2022-09-02,2022-10-02,Expired,USA,SMB,Inactive,,,13,96,2024-12-01,Yes
3254,1999,Failed,UPI,Insufficient Funds,Basic,Monthly,999,2024-03-02,2024-04-01,Active,UK,Enterprise,Active,Downgrade,Closed,99,59,2024-10-14,No
228,999,Success,Card,,Pro,Monthly,1999,2022-08-21,2022-09-20,Active,USA,Enterprise,Inactive,,,114,54,2024-11-08,No
3153,1999,Failed,UPI,Timeout,Pro,Monthly,1999,2024-03-04,2025-03-04,Expired,USA,Enterprise,Active,,,33,19,2024-11-21,No
2636,999,Failed,Card,Insufficient Funds,Pro,Annual,1999,2023-06-10,2024-06-09,Cancelled,UK,Enterprise,Active,Downgrade,Closed,48,11,2024-10-27,Yes
3353,3999,Success,Wallet,Gateway Error,Premium,Monthly,3999,2023-11-01,2024-10-31,Expired,UK,SMB,Active,,,13,96,2024-12-01,Yes
4810,1999,Success,UPI,Gateway Error,Basic,Annual,999,2023-12-31,2024-01-30,Expired,India,SMB,Active,,,59,64,2024-11-09,No
2812,3999,Success,Card,Insufficient Funds,Basic,Monthly,999,2022-12-22,2023-01-21,Active,USA,Mid,Inactive,,,78,65,2024-10-28,Yes
174,1999,Success,UPI,,Basic,Annual,999,2022-08-18,2023-08-18,Active,Australia,Enterprise,Active,Refund,Closed,74,34,2024-11-23,No
1399,999,Success,UPI,Insufficient Funds,Basic,Monthly,999,2022-06-29,2022-07-29,Active,Germany,Enterprise,Active,Refund,Closed,118,30,2024-10-20,Yes
3403,3999,Success,Card,Timeout,Pro,Monthly,1999,2023-02-26,2024-02-26,Cancelled,India,Enterprise,Active,Complaint,Closed,84,60,2024-11-29,No
3736,3999,Failed,Card,Timeout,Basic,Monthly,999,2022-12-27,2023-01-26,Active,Australia,Enterprise,Active,,,55,34,2024-11-19,No
2435,1999,Success,UPI,Insufficient Funds,Pro,Monthly,1999,2022-08-20,2023-08-20,Active,India,SMB,Active,,,51,30,2024-10-13,Yes
3220,3999,Success,Card,Gateway Error,Basic,Monthly,999,2024-01-09,2024-02-08,Active,India,Enterprise,Active,,,108,28,2024-11-20,Yes
4439,3999,Success,Wallet,,Basic,Annual,999,2022-08-18,2023-08-18,Active,UK,Mid,Active,,,101,18,2024-10-23,No
1148,999,Success,UPI,Insufficient Funds,Basic,Monthly,999,2023-07-29,2023-08-28,Active,Australia,Mid,Active,,,114,92,2024-10-29,No
4836,3999,Success,Wallet,Gateway Error,Premium,Annual,3999,2023-07-24,2023-08-23,Active,UK,SMB,Active,,,102,45,2024-11-05,Yes
3556,3999,Success,UPI,Insufficient Funds,Pro,Monthly,1999,2022-02-06,2023-02-06,Active,India,SMB,Active,,,3,52,2024-11-18,Yes
1478,999,Failed,Wallet,,Basic,Monthly,999,2022-05-24,2022-06-23,Expired,USA,SMB,Active,,,8,74,2024-09-27,No
706,1999,Success,UPI,Insufficient Funds,Premium,Monthly,3999,2022-01-01,2022-01-31,Active,Germany,SMB,Active,Downgrade,Open,114,90,2024-09-21,Yes
3421,999,Success,UPI,Gateway Error,Pro,Annual,1999,2024-01-14,2025-01-13,Active,India,SMB,Active,Downgrade,Closed,4,18,2024-11-16,No
2501,1999,Success,Card,Gateway Error,Basic,Monthly,999,2023-01-20,2024-01-20,Expired,India,Mid,Active,Complaint,Closed,65,59,2024-11-19,Yes
2056,3999,Success,UPI,Timeout,Basic,Monthly,999,2022-09-04,2023-09-04,Expired,Australia,SMB,Active,,,22,75,2024-11-06,Yes
1890,999,Success,Wallet,Gateway Error,Pro,Monthly,1999,2022-02-16,2023-02-16,Expired,India,Mid,Active,Refund,Closed,44,10,2024-09-21,Yes
3445,1999,Success,UPI,Gateway Error,Basic,Monthly,999,2023-07-20,2024-07-19,Active,USA,Enterprise,Active,,,5,46,2024-10-11,Yes
4663,999,Success,UPI,,Pro,Monthly,1999,2022-11-24,2023-11-24,Expired,Germany,SMB,Active,,,23,22,2024-10-25,No
2597,3999,Success,Card,Insufficient Funds,Basic,Monthly,999,2022-11-13,2022-12-13,Expired,Germany,Mid,Active,Refund,Closed,33,30,2024-12-01,Yes
3529,1999,Pending,Card,Insufficient Funds,Basic,Annual,999,2022-09-07,2023-09-07,Active,USA,Enterprise,Active,,,49,38,2024-10-10,No
3833,999,Success,Wallet,,Premium,Monthly,3999,2022-07-15,2022-08-14,Active,USA,Enterprise,Active,Downgrade,Closed,2,32,2024-10-16,Yes
4808,1999,Success,Wallet,Gateway Error,Premium,Monthly,3999,2023-01-03,2024-01-03,Active,Australia,Mid,Active,,,13,53,2024-09-24,No
601,3999,Pending,Card,Gateway Error,Premium,Monthly,3999,2022-08-06,2023-08-06,Active,USA,Enterprise,Inactive,Complaint,Closed,46,64,2024-10-17,No
601,3999,Pending,Card,Gateway Error,Premium,Monthly,3999,2022-08-06,2023-08-06,Active,USA,Enterprise,Inactive,Refund,Closed,46,64,2024-10-17,No
3395,999,Success,Wallet,Insufficient Funds,Pro,Monthly,1999,2023-08-20,2023-09-19,Active,Germany,Enterprise,Active,,,117,31,2024-10-18,No
3973,1999,Success,UPI,Timeout,Pro,Annual,1999,2023-03-26,2023-04-25,Cancelled,USA,Enterprise,Active,,,7,15,2024-11-22,No
2383,1999,Success,Wallet,Timeout,Pro,Annual,1999,2023-06-10,2024-06-09,Cancelled,UK,Enterprise,Active,,,30,88,2024-11-24,Yes
122,1999,Success,Wallet,Gateway Error,Basic,Monthly,999,2023-12-31,2024-12-30,Cancelled,India,Enterprise,Active,Refund,Closed,105,35,2024-10-14,Yes
476,3999,Pending,Wallet,Insufficient Funds,Basic,Monthly,999,2023-04-05,2023-05-05,Active,USA,Enterprise,Active,,,98,40,2024-10-28,No
4882,1999,Success,Wallet,,Premium,Monthly,3999,2023-09-25,2024-09-24,Expired,Australia,Enterprise,Active,Refund,Closed,35,41,2024-09-16,Yes
237,999,Success,Wallet,,Basic,Monthly,999,2024-01-03,2024-02-02,Cancelled,India,Enterprise,Inactive,Downgrade,Closed,75,80,2024-11-13,No
2827,999,Failed,Card,,Pro,Monthly,1999,2024-02-19,2024-03-20,Cancelled,India,Mid,Active,,,119,40,2024-11-29,No
3914,3999,Success,Wallet,Gateway Error,Basic,Monthly,999,2022-09-14,2022-10-14,Active,India,Mid,Active,,,64,71,2024-09-19,No
1668,3999,Success,Wallet,Gateway Error,Pro,Annual,1999,2022-10-10,2022-11-09,Cancelled,Australia,Mid,Active,Complaint,Closed,110,75,2024-09-03,Yes
382,1999,Failed,Wallet,Gateway Error,Basic,Monthly,999,2023-04-02,2024-04-01,Cancelled,USA,Enterprise,Active,,,50,22,2024-09-12,Yes
4485,3999,Success,UPI,Timeout,Premium,Monthly,3999,2022-01-13,2023-01-13,Cancelled,UK,Enterprise,Inactive,,,63,94,2024-11-05,No
1471,1999,Success,Card,,Pro,Annual,1999,2022-05-30,2022-06-29,Expired,India,Enterprise,Active,,,118,27,2024-10-15,Yes
4790,1999,Success,Wallet,Gateway Error,Basic,Monthly,999,2022-02-13,2022-03-15,Expired,Australia,SMB,Active,,,100,39,2024-11-25,No
3265,3999,Success,Card,Timeout,Basic,Annual,999,2022-06-05,2023-06-05,Expired,India,SMB,Active,,,114,22,2024-10-20,No
4557,1999,Pending,Card,Timeout,Basic,Monthly,999,2023-03-10,2023-04-09,Active,India,SMB,Active,Downgrade,Closed,86,99,2024-11-04,No
4206,1999,Success,Wallet,Insufficient Funds,Pro,Monthly,1999,2022-03-13,2023-03-13,Cancelled,Australia,Enterprise,Active,,,37,29,2024-11-14,No
4310,1999,Success,Card,Insufficient Funds,Premium,Monthly,3999,2022-03-24,2023-03-24,Active,UK,Mid,Active,Complaint,Closed,118,83,2024-11-22,Yes
3725,1999,Success,Card,Timeout,Basic,Annual,999,2024-01-23,2025-01-22,Cancelled,Germany,Enterprise,Active,,,29,89,2024-09-08,No
2511,999,Failed,Card,Gateway Error,Premium,Monthly,3999,2022-12-07,2023-12-07,Active,India,SMB,Active,Downgrade,Closed,3,62,2024-11-17,Yes
585,3999,Success,UPI,Gateway Error,Basic,Monthly,999,2022-07-13,2023-07-13,Active,USA,SMB,Active,,,114,39,2024-11-25,No
515,999,Failed,Card,Timeout,Basic,Annual,999,2023-06-03,2024-06-02,Expired,UK,Mid,Active,Refund,Open,89,12,2024-09-29,Yes
2050,1999,Success,Wallet,,Premium,Monthly,3999,2023-05-02,2023-06-01,Cancelled,UK,Enterprise,Inactive,,,23,21,2024-09-16,No
3468,3999,Success,Card,Insufficient Funds,Pro,Monthly,1999,2023-06-25,2024-06-24,Active,Germany,SMB,Active,,,100,25,2024-11-07,Yes
210,3999,Success,UPI,Timeout,Basic,Monthly,999,2023-03-31,2023-04-30,Active,Australia,SMB,Active,,,43,62,2024-11-21,Yes
4154,3999,Pending,Card,Insufficient Funds,Premium,Annual,3999,2022-08-07,2023-08-07,Active,India,Enterprise,Active,,,26,49,2024-09-19,Yes
4580,1999,Success,UPI,Timeout,Premium,Monthly,3999,2023-08-22,2023-09-21,Active,USA,SMB,Active,,,51,25,2024-11-23,Yes
1753,3999,Success,Wallet,Timeout,Pro,Monthly,1999,2023-09-15,2023-10-15,Active,Australia,SMB,Inactive,,,107,79,2024-10-31,No
2996,3999,Success,UPI,,Pro,Monthly,1999,2024-01-25,2024-02-24,Active,USA,Mid,Active,,,98,24,2024-11-22,Yes
3841,999,Success,Wallet,,Basic,Monthly,999,2023-02-08,2024-02-08,Active,India,Enterprise,Active,,,50,49,2024-09-26,Yes
4040,3999,Pending,Card,Gateway Error,Pro,Annual,1999,2023-06-21,2023-07-21,Active,Australia,Enterprise,Active,Refund,Closed,96,87,2024-11-22,No
4581,999,Success,Card,,Basic,Annual,999,2023-05-28,2023-06-27,Cancelled,India,SMB,Active,,,91,70,2024-10-15,Yes
4167,1999,Success,Wallet,Insufficient Funds,Pro,Monthly,1999,2024-02-15,2025-02-14,Expired,USA,SMB,Active,Complaint,Closed,11,30,2024-09-05,No
1507,3999,Success,UPI,Timeout,Premium,Monthly,3999,2023-08-04,2024-08-03,Cancelled,USA,Mid,Active,,,80,75,2024-10-18,No
1069,1999,Success,Card,Gateway Error,Pro,Monthly,1999,2023-07-23,2023-08-22,Active,Germany,Mid,Active,,,102,51,2024-09-28,Yes
2704,1999,Success,Card,,Basic,Monthly,999,2022-09-11,2023-09-11,Cancelled,USA,Mid,Active,,,50,24,2024-11-19,No
3857,3999,Success,UPI,Insufficient Funds,Pro,Monthly,1999,2022-01-27,2022-02-26,Active,Australia,Mid,Active,,,74,60,2024-11-30,Yes
1766,1999,Success,Card,,Pro,Monthly,1999,2023-04-08,2023-05-08,Active,USA,Mid,Active,,,75,77,2024-10-04,No
1829,1999,Pending,Wallet,,Basic,Monthly,999,2022-11-01,2023-11-01,Active,UK,Mid,Active,,,25,70,2024-10-09,No
2834,3999,Success,Wallet,Gateway Error,Basic,Monthly,999,2022-03-22,2023-03-22,Active,UK,SMB,Active,,,9,82,2024-11-03,Yes
1228,3999,Success,Wallet,,Basic,Annual,999,2022-01-22,2022-02-21,Active,India,Mid,Active,Downgrade,Closed,2,95,2024-11-13,Yes
4572,3999,Pending,Card,Gateway Error,Pro,Monthly,1999,2023-02-26,2024-02-26,Cancelled,India,Enterprise,Active,Downgrade,Open,66,48,2024-10-19,Yes
3851,999,Success,Wallet,,Pro,Monthly,1999,2023-11-13,2023-12-13,Active,Germany,Enterprise,Active,Downgrade,Closed,68,40,2024-09-23,No
3851,999,Success,Wallet,,Pro,Monthly,1999,2023-11-13,2023-12-13,Active,Germany,Enterprise,Active,Refund,Closed,68,40,2024-09-23,No
572,1999,Success,UPI,Insufficient Funds,Premium,Annual,3999,2023-08-25,2023-09-24,Active,UK,SMB,Active,,,78,99,2024-10-10,Yes
3226,1999,Success,Wallet,Gateway Error,Basic,Annual,999,2023-03-21,2024-03-20,Active,Australia,SMB,Active,,,39,90,2024-10-19,Yes
4688,999,Pending,Card,Insufficient Funds,Basic,Monthly,999,2022-09-15,2022-10-15,Active,Australia,Enterprise,Active,,,90,41,2024-11-12,Yes
1574,1999,Success,UPI,Insufficient Funds,Pro,Monthly,1999,2022-01-08,2023-01-08,Cancelled,Germany,Enterprise,Active,,,51,37,2024-11-07,No
4745,3999,Failed,Card,Gateway Error,Pro,Monthly,1999,2022-04-02,2022-05-02,Active,Germany,Enterprise,Active,,,29,24,2024-10-10,No
4562,3999,Failed,UPI,Timeout,Basic,Annual,999,2022-12-28,2023-01-27,Active,UK,SMB,Active,,,75,28,2024-10-12,No
225,1999,Failed,Wallet,Gateway Error,Pro,Annual,1999,2022-04-08,2023-04-08,Active,India,Mid,Active,Complaint,Open,27,91,2024-10-14,No
3017,1999,Success,Wallet,Insufficient Funds,Pro,Monthly,1999,2022-08-03,2023-08-03,Active,USA,SMB,Active,,,81,89,2024-09-12,Yes
558,1999,Pending,UPI,,Premium,Monthly,3999,2023-12-27,2024-12-26,Active,Germany,SMB,Active,Complaint,Closed,110,64,2024-10-19,No
3529,3999,Success,UPI,Insufficient Funds,Basic,Monthly,999,2024-01-24,2024-02-23,Active,Australia,Enterprise,Active,,,49,38,2024-10-10,No
453,1999,Failed,Wallet,,Pro,Monthly,1999,2022-10-12,2023-10-12,Cancelled,Australia,SMB,Inactive,Refund,Closed,60,10,2024-09-11,No
1898,1999,Success,Card,Insufficient Funds,Basic,Monthly,999,2023-03-06,2024-03-05,Active,India,Mid,Active,,,72,40,2024-11-17,No
2850,3999,Success,Wallet,Insufficient Funds,Pro,Monthly,1999,2023-07-26,2023-08-25,Active,USA,SMB,Active,,,40,96,2024-10-23,Yes
742,3999,Success,Card,,Pro,Monthly,1999,2023-05-01,2024-04-30,Expired,Australia,Mid,Active,,,38,87,2024-11-21,No
1942,3999,Success,Wallet,Gateway Error,Basic,Monthly,999,2023-10-02,2024-10-01,Active,Australia,Mid,Active,,,27,25,2024-11-01,No
709,1999,Pending,UPI,Insufficient Funds,Basic,Annual,999,2022-08-22,2023-08-22,Cancelled,India,SMB,Active,,,97,44,2024-09-14,No
4289,1999,Success,Card,Insufficient Funds,Premium,Annual,3999,2022-05-29,2023-05-29,Active,UK,SMB,Active,,,29,52,2024-10-10,No
154,999,Success,Wallet,Timeout,Premium,Annual,3999,2024-01-29,2024-02-28,Active,India,SMB,Active,,,62,93,2024-10-10,Yes
466,999,Success,Wallet,,Pro,Monthly,1999,2022-04-30,2023-04-30,Active,USA,Enterprise,Active,Complaint,Closed,103,32,2024-11-18,No
567,3999,Success,Card,Gateway Error,Premium,Monthly,3999,2022-12-16,2023-12-16,Active,India,SMB,Active,,,10,90,2024-10-05,No
4058,3999,Success,UPI,Insufficient Funds,Premium,Monthly,3999,2023-07-19,2024-07-18,Active,USA,Mid,Active,,,82,86,2024-11-30,Yes
2815,3999,Success,UPI,Gateway Error,Premium,Monthly,3999,2022-09-05,2022-10-05,Active,Germany,SMB,Inactive,,,117,20,2024-10-29,No
11,1999,Success,Wallet,Insufficient Funds,Basic,Monthly,999,2022-08-07,2022-09-06,Active,USA,Mid,Active,,,22,24,2024-10-08,No
4666,999,Success,UPI,Insufficient Funds,Pro,Monthly,1999,2024-02-26,2024-03-27,Active,Germany,Enterprise,Active,,,63,93,2024-09-10,Yes
1005,3999,Success,Wallet,Timeout,Premium,Monthly,3999,2023-06-27,2024-06-26,Active,Germany,SMB,Active,,,66,42,2024-09-06,Yes
4052,1999,Failed,UPI,Timeout,Pro,Monthly,1999,2023-05-05,2024-05-04,Expired,USA,Mid,Active,Complaint,Closed,98,28,2024-09-16,No
2287,1999,Success,Card,Timeout,Pro,Monthly,1999,2024-01-06,2024-02-05,Active,India,Enterprise,Inactive,,,39,62,2024-12-01,Yes
4906,1999,Success,Wallet,Insufficient Funds,Basic,Monthly,999,2022-03-25,2023-03-25,Active,UK,Mid,Inactive,,,35,60,2024-09-19,Yes
4945,1999,Pending,UPI,Insufficient Funds,Pro,Annual,1999,2024-03-05,2025-03-05,Active,India,Mid,Inactive,Refund,Closed,54,36,2024-11-28,Yes
499,1999,Success,Wallet,Timeout,Pro,Monthly,1999,2023-02-27,2023-03-29,Cancelled,Germany,SMB,Active,,,102,38,2024-11-02,Yes
1909,999,Success,UPI,,Pro,Annual,1999,2022-03-20,2022-04-19,Active,Australia,SMB,Active,Downgrade,Closed,114,11,2024-09-03,Yes
3023,1999,Pending,Card,,Basic,Annual,999,2022-08-03,2023-08-03,Active,India,Mid,Active,,,76,23,2024-10-15,Yes
4128,3999,Success,Card,Insufficient Funds,Basic,Monthly,999,2022-04-15,2023-04-15,Expired,Australia,SMB,Active,Downgrade,Closed,7,44,2024-11-13,No
4391,3999,Success,Card,Gateway Error,Basic,Monthly,999,2023-12-28,2024-01-27,Active,Australia,SMB,Active,,,116,96,2024-11-09,Yes
1552,3999,Success,Wallet,Insufficient Funds,Pro,Annual,1999,2023-10-14,2024-10-13,Cancelled,India,Enterprise,Active,,,78,43,2024-11-07,No
3987,3999,Success,Wallet,Insufficient Funds,Basic,Monthly,999,2023-11-28,2024-11-27,Expired,UK,SMB,Inactive,,,97,36,2024-09-11,Yes
726,3999,Success,Card,,Pro,Monthly,1999,2022-03-24,2023-03-24,Active,India,SMB,Active,Downgrade,Closed,40,70,2024-09-23,No
726,3999,Success,Card,,Pro,Monthly,1999,2022-03-24,2023-03-24,Active,India,SMB,Active,Refund,Closed,40,70,2024-09-23,No
4682,1999,Success,Card,Insufficient Funds,Pro,Monthly,1999,2023-08-01,2024-07-31,Active,Australia,Enterprise,Inactive,,,85,60,2024-11-07,Yes
4829,999,Success,Wallet,Timeout,Basic,Monthly,999,2022-06-08,2023-06-08,Active,Australia,Mid,Active,,,22,46,2024-09-29,No
4430,3999,Success,Card,Gateway Error,Pro,Annual,1999,2023-02-27,2024-02-27,Active,Germany,Enterprise,Active,Downgrade,Closed,56,86,2024-10-11,Yes
2974,999,Success,Wallet,Gateway Error,Basic,Monthly,999,2022-02-18,2023-02-18,Expired,UK,Enterprise,Active,Complaint,Closed,1,16,2024-11-20,Yes
4458,1999,Failed,Card,,Pro,Annual,1999,2023-03-11,2023-04-10,Active,Australia,SMB,Active,,,106,92,2024-09-20,Yes
930,999,Success,UPI,,Basic,Annual,999,2023-10-12,2024-10-11,Expired,USA,Enterprise,Active,Complaint,Closed,64,13,2024-09-10,No
935,1999,Failed,Wallet,Insufficient Funds,Basic,Monthly,999,2022-12-10,2023-12-10,Expired,USA,SMB,Active,,,40,80,2024-10-23,Yes
1073,1999,Success,Card,Gateway Error,Pro,Monthly,1999,2023-01-08,2023-02-07,Active,UK,Enterprise,Active,,,107,18,2024-10-27,No
4586,3999,Success,Wallet,,Premium,Annual,3999,2022-10-17,2022-11-16,Active,Australia,Mid,Active,,,96,35,2024-10-19,Yes
3813,3999,Failed,Card,,Basic,Monthly,999,2022-04-06,2023-04-06,Active,Australia,Mid,Active,Refund,Closed,66,49,2024-10-28,No
4229,3999,Success,Wallet,Gateway Error,Basic,Monthly,999,2023-09-22,2023-10-22,Active,USA,Enterprise,Active,,,113,22,2024-10-28,No
873,3999,Failed,Card,,Pro,Monthly,1999,2022-10-17,2023-10-17,Active,Germany,Enterprise,Active,,,69,58,2024-11-12,No
299,999,Success,Wallet,Gateway Error,Pro,Monthly,1999,2022-05-03,2023-05-03,Cancelled,India,Enterprise,Active,Refund,Closed,57,31,2024-10-02,No
2607,999,Pending,Card,Insufficient Funds,Pro,Monthly,1999,2023-06-12,2023-07-12,Expired,India,Mid,Active,,,74,76,2024-11-12,Yes
3269,1999,Success,UPI,,Premium,Annual,3999,2023-07-01,2024-06-30,Cancelled,USA,Mid,Active,,,1,82,2024-11-08,Yes
3839,999,Pending,Wallet,,Pro,Annual,1999,2022-12-15,2023-01-14,Cancelled,Australia,SMB,Inactive,Refund,Open,95,14,2024-09-26,Yes
3985,1999,Success,Card,,Basic,Monthly,999,2022-05-29,2023-05-29,Active,UK,SMB,Active,Complaint,Closed,21,70,2024-10-21,No
194,1999,Success,Card,,Pro,Monthly,1999,2023-11-02,2024-11-01,Active,USA,Enterprise,Inactive,Downgrade,Closed,113,50,2024-11-19,No
2484,1999,Failed,Card,Timeout,Pro,Monthly,1999,2022-07-07,2022-08-06,Cancelled,Australia,Enterprise,Active,,,41,61,2024-09-08,No
2652,1999,Pending,UPI,Gateway Error,Pro,Monthly,1999,2023-09-06,2023-10-06,Active,UK,Enterprise,Active,,,21,67,2024-09-23,Yes
2436,3999,Success,UPI,Gateway Error,Basic,Monthly,999,2022-01-09,2022-02-08,Active,Germany,Mid,Active,,,17,67,2024-10-02,No
2383,1999,Success,UPI,Gateway Error,Premium,Monthly,3999,2023-12-08,2024-12-07,Active,Germany,Mid,Inactive,,,30,88,2024-11-24,Yes
368,3999,Success,UPI,Timeout,Basic,Monthly,999,2024-03-09,2024-04-08,Active,USA,Enterprise,Active,,,65,52,2024-09-18,No
2610,1999,Success,Wallet,Gateway Error,Pro,Annual,1999,2023-03-19,2024-03-18,Active,India,SMB,Active,Refund,Closed,12,17,2024-11-21,Yes
4834,3999,Success,Card,Gateway Error,Basic,Annual,999,2022-08-03,2023-08-03,Active,India,Mid,Active,,,107,15,2024-09-21,No
2744,3999,Success,Wallet,Gateway Error,Premium,Monthly,3999,2022-12-05,2023-01-04,Cancelled,Australia,Mid,Active,,,20,19,2024-11-16,No
1890,999,Success,UPI,Gateway Error,Premium,Monthly,3999,2023-01-11,2024-01-11,Active,Australia,Mid,Active,Refund,Closed,44,10,2024-09-21,Yes
528,999,Success,Card,Insufficient Funds,Basic,Annual,999,2023-09-07,2023-10-07,Expired,Germany,Enterprise,Active,,,14,42,2024-11-08,Yes
2148,1999,Success,UPI,Gateway Error,Basic,Monthly,999,2022-11-21,2022-12-21,Active,USA,Mid,Active,Downgrade,Closed,101,10,2024-09-19,Yes
2148,1999,Success,UPI,Gateway Error,Basic,Monthly,999,2022-11-21,2022-12-21,Active,USA,Mid,Active,Downgrade,Closed,101,10,2024-09-19,Yes
3565,3999,Success,Wallet,Gateway Error,Basic,Monthly,999,2022-08-21,2023-08-21,Active,India,SMB,Active,,,49,14,2024-11-27,No
278,1999,Success,Card,Timeout,Basic,Monthly,999,2022-06-15,2022-07-15,Active,Germany,Mid,Active,Refund,Closed,73,27,2024-10-29,Yes
1402,999,Success,UPI,,Premium,Annual,3999,2022-09-02,2022-10-02,Expired,Australia,Mid,Active,Refund,Open,114,90,2024-09-23,No
4524,1999,Success,UPI,Gateway Error,Basic,Annual,999,2022-01-11,2022-02-10,Cancelled,India,SMB,Active,,,78,34,2024-10-26,No
329,999,Success,UPI,,Pro,Monthly,1999,2023-08-23,2023-09-22,Active,Germany,SMB,Active,,,50,94,2024-11-10,No
1024,3999,Success,Card,,Premium,Monthly,3999,2023-04-24,2023-05-24,Active,Germany,Mid,Active,,,89,68,2024-11-03,Yes
764,3999,Success,Wallet,,Premium,Monthly,3999,2022-01-30,2023-01-30,Active,UK,Mid,Active,Downgrade,Open,91,26,2024-10-18,Yes
764,3999,Success,Wallet,,Premium,Monthly,3999,2022-01-30,2023-01-30,Active,UK,Mid,Active,Refund,Closed,91,26,2024-10-18,Yes
