payment_id,subscription_id,user_id,payment_date,amount,payment_status,payment_method,failure_reason
50079,11740,515,2024-02-12,999,Failed,Card,Timeout
50080,11016,2050,2022-08-07,1999,Success,Wallet,
50081,14813,3468,2022-08-19,3999,Success,Card,Insufficient Funds
50082,12966,210,2022-08-19,3999,Success,UPI,Timeout
50083,11560,4154,2024-07-08,3999,Pending,Card,Insufficient Funds
50084,11569,4580,2024-03-30,1999,Success,UPI,Timeout
50085,11987,1753,2022-03-12,3999,Success,Wallet,Timeout
50086,11511,2996,2024-06-10,3999,Success,UPI,
50087,14576,3841,2024-05-27,999,Success,Wallet,
50088,13857,4040,2023-09-13,3999,Pending,Card,Gateway Error
50089,11712,4581,2023-10-07,999,Success,Card,
50090,14140,4167,2023-05-04,1999,Success,Wallet,Insufficient Funds
50091,13528,1507,2024-02-01,3999,Success,UPI,Timeout
50092,14971,1069,2022-07-18,1999,Success,Card,Gateway Error
50093,13869,2704,2022-10-03,1999,Success,Card,
50094,15132,3857,2022-07-20,3999,Success,UPI,Insufficient Funds
50095,14452,1766,2024-06-21,1999,Success,Card,
50096,14570,1829,2022-10-08,1999,Pending,Wallet,
50097,13670,2834,2024-07-13,3999,Success,Wallet,Gateway Error
50098,13645,1228,2023-05-29,3999,Success,Wallet,
50099,12161,4572,2023-03-27,3999,Pending,Card,Gateway Error
50100,11502,3851,2023-11-13,999,Success,Wallet,
50101,10815,572,2022-04-18,1999,Success,UPI,Insufficient Funds
50102,15187,3226,2022-03-07,1999,Success,Wallet,Gateway Error
50103,14066,4688,2023-06-16,999,Pending,Card,Insufficient Funds
50104,13326,1574,2024-06-02,1999,Success,UPI,Insufficient Funds
50105,14497,4745,2022-11-20,3999,Failed,Card,Gateway Error
50106,11324,4562,2023-06-07,3999,Failed,UPI,Timeout
50107,10005,225,2022-06-20,1999,Failed,Wallet,Gateway Error
50108,13518,3017,2023-04-10,1999,Success,Wallet,Insufficient Funds
50109,11259,558,2024-05-11,1999,Pending,UPI,
50110,12035,3529,2023-02-10,3999,Success,UPI,Insufficient Funds
50111,10200,453,2023-10-13,1999,Failed,Wallet,
50112,11706,1898,2023-06-19,1999,Success,Card,Insufficient Funds
50113,13942,2850,2023-05-12,3999,Success,Wallet,Insufficient Funds
50114,13932,742,2022-10-24,3999,Success,Card,
50115,12069,1942,2024-05-06,3999,Success,Wallet,Gateway Error
50116,13759,709,2022-05-14,1999,Pending,UPI,Insufficient Funds
50117,13146,4289,2023-06-30,1999,Success,Card,Insufficient Funds
50118,12844,154,2024-01-10,999,Success,Wallet,Timeout
50119,12197,466,2024-05-03,999,Success,Wallet,
50120,10625,567,2022-11-28,3999,Success,Card,Gateway Error
50121,12134,4058,2023-12-13,3999,Success,UPI,Insufficient Funds
50122,15222,2815,2023-01-18,3999,Success,UPI,Gateway Error
50123,12579,11,2023-12-14,1999,Success,Wallet,Insufficient Funds
50124,10692,4666,2023-07-30,999,Success,UPI,Insufficient Funds
50125,12598,1005,2024-05-18,3999,Success,Wallet,Timeout
50126,10814,4052,2023-05-24,1999,Failed,UPI,Timeout
50127,11628,2287,2023-07-03,1999,Success,Card,Timeout
50128,14617,4906,2023-05-25,1999,Success,Wallet,Insufficient Funds
50129,13593,4945,2024-07-17,1999,Pending,UPI,Insufficient Funds
50130,12581,499,2022-07-04,1999,Success,Wallet,Timeout
50131,13933,1909,2022-03-20,999,Success,UPI,
50132,10296,3023,2024-02-06,1999,Pending,Card,
50133,13252,4128,2024-05-05,3999,Success,Card,Insufficient Funds
50134,11155,4391,2022-04-10,3999,Success,Card,Gateway Error
50135,13981,1552,2022-07-24,3999,Success,Wallet,Insufficient Funds
50136,10533,3987,2023-04-08,3999,Success,Wallet,Insufficient Funds
50137,15128,726,2023-08-07,3999,Success,Card,
50138,10888,4682,2022-05-18,1999,Success,Card,Insufficient Funds
50139,13273,4829,2023-07-13,999,Success,Wallet,Timeout
50140,12926,4430,2022-07-30,3999,Success,Card,Gateway Error
50141,12433,2974,2024-03-21,999,Success,Wallet,Gateway Error
50142,13598,4458,2022-10-29,1999,Failed,Card,
50143,12421,930,2022-09-01,999,Success,UPI,
50144,13236,935,2023-01-23,1999,Failed,Wallet,Insufficient Funds
50145,14619,1073,2023-07-18,1999,Success,Card,Gateway Error
50146,10835,4586,2024-01-22,3999,Success,Wallet,
50147,11378,3813,2024-04-11,3999,Failed,Card,
50148,13481,4229,2024-04-11,3999,Success,Wallet,Gateway Error
50149,14607,873,2024-02-26,3999,Failed,Card,
50150,10212,299,2022-07-06,999,Success,Wallet,Gateway Error
50151,10927,2607,2022-05-01,999,Pending,Card,Insufficient Funds
50152,12673,3269,2024-04-19,1999,Success,UPI,
50153,14033,3839,2024-07-16,999,Pending,Wallet,
50154,10345,3985,2022-04-04,1999,Success,Card,
50155,13083,194,2023-03-26,1999,Success,Card,
50156,14432,2484,2023-04-08,1999,Failed,Card,Timeout
50157,15460,2652,2023-06-06,1999,Pending,UPI,Gateway Error
50158,11702,2436,2022-03-11,3999,Success,UPI,Gateway Error
50159,14701,2383,2022-06-28,1999,Success,UPI,Gateway Error
50160,13847,368,2024-05-25,3999,Success,UPI,Timeout
50161,14017,2610,2023-05-25,1999,Success,Wallet,Gateway Error
50162,10296,4834,2022-07-16,3999,Success,Card,Gateway Error
50163,12749,2744,2022-02-23,3999,Success,Wallet,Gateway Error
50164,14484,1890,2022-10-20,999,Success,UPI,Gateway Error
50165,11497,528,2024-01-29,999,Success,Card,Insufficient Funds
50166,13080,2148,2022-05-09,1999,Success,UPI,Gateway Error
50167,11568,3565,2023-05-27,3999,Success,Wallet,Gateway Error
50168,15451,278,2023-07-04,1999,Success,Card,Timeout
50169,11976,1402,2024-04-29,999,Success,UPI,
50170,14133,4524,2022-10-28,1999,Success,UPI,Gateway Error
50171,14279,329,2024-02-10,999,Success,UPI,
50172,14166,1024,2022-02-16,3999,Success,Card,
50173,10237,764,2024-02-20,3999,Success,Wallet,
50174,10464,2740,2023-11-25,3999,Success,Wallet,
50175,15238,33,2022-11-01,3999,Success,UPI,
50176,14287,3169,2022-09-09,1999,Success,Wallet,Timeout
50177,10930,386,2023-09-03,3999,Success,Wallet,
50178,11887,4110,2022-11-08,999,Failed,UPI,Insufficient Funds
50179,13912,3389,2023-07-30,1999,Success,UPI,Insufficient Funds
50180,14413,3823,2023-08-17,999,Pending,Wallet,
50181,10718,4182,2024-04-01,999,Success,Wallet,Insufficient Funds
50182,10658,2590,2024-04-28,3999,Success,Card,Insufficient Funds
50183,11213,3355,2023-11-23,1999,Success,UPI,Insufficient Funds
50184,13822,1088,2023-08-29,999,Success,Card,Timeout
50185,14053,1825,2022-06-02,3999,Success,Wallet,Insufficient Funds
50186,12271,3893,2023-02-03,3999,Pending,Card,Insufficient Funds
50187,10758,80,2023-07-24,1999,Success,UPI,Insufficient Funds
50188,13479,394,2022-08-28,1999,Success,Card,Gateway Error
50189,11231,667,2022-07-04,3999,Success,Wallet,Timeout
50190,12974,3749,2022-11-02,1999,Success,UPI,Gateway Error
50191,12448,2926,2022-09-13,1999,Pending,Wallet,
50192,13259,2259,2022-03-30,3999,Success,Wallet,
50193,15480,2451,2024-03-04,1999,Failed,Card,Gateway Error
50194,12013,2315,2022-09-28,1999,Success,UPI,Insufficient Funds
50195,13676,1076,2023-06-15,3999,Success,Wallet,
50196,15126,32,2022-10-21,3999,Success,UPI,Insufficient Funds
50197,15094,1021,2022-09-19,999,Pending,Card,Timeout
50198,10083,1360,2023-03-06,3999,Success,Card,Timeout
50199,13763,4564,2022-04-07,999,Success,UPI,
50200,11401,292,2023-04-26,1999,Success,Wallet,Gateway Error
50201,10659,600,2022-08-28,3999,Failed,Card,Insufficient Funds
50202,15408,171,2023-05-28,1999,Success,Card,Gateway Error
50203,12873,2356,2023-04-07,3999,Success,Card,
50204,15151,3893,2022-03-18,3999,Failed,UPI,Insufficient Funds
50205,11338,1107,2024-06-06,3999,Failed,UPI,
50206,13225,4272,2024-01-16,999,Success,Card,Timeout
50207,15039,2931,2023-08-10,3999,Success,Wallet,Insufficient Funds
50208,10694,2940,2023-11-11,3999,Success,UPI,Timeout
50209,14328,1918,2022-04-12,999,Success,Wallet,Timeout
50210,11145,112,2024-03-20,3999,Success,UPI,Timeout
50211,13257,355,2023-10-20,999,Success,UPI,Gateway Error
50212,13528,191,2023-08-22,1999,Success,UPI,
50213,11853,3643,2022-06-12,999,Failed,Wallet,
50214,14484,2310,2023-02-16,1999,Success,Wallet,Timeout
50215,12680,1748,2022-11-20,3999,Success,Card,Insufficient Funds
50216,10864,1363,2024-06-07,999,Success,UPI,Timeout
50217,11250,3928,2024-07-04,1999,Failed,UPI,Insufficient Funds
50218,11219,2432,2022-11-17,1999,Failed,UPI,Insufficient Funds
50219,14905,4425,2023-01-02,999,Failed,UPI,Gateway Error
50220,11050,3616,2023-10-10,3999,Success,UPI,
50221,12903,2920,2022-03-19,1999,Success,Wallet,Insufficient Funds
50222,14633,4861,2022-03-02,999,Success,Card,
50223,14807,773,2023-10-23,1999,Failed,Wallet,Insufficient Funds
50224,15384,2065,2022-03-18,1999,Success,Wallet,Insufficient Funds
50225,11495,4480,2024-05-28,999,Success,Wallet,
50226,12337,3926,2023-09-05,999,Success,UPI,Gateway Error
50227,10368,2844,2023-07-30,3999,Success,UPI,
50228,10412,1684,2022-03-22,3999,Success,Wallet,Insufficient Funds
50229,13094,147,2024-03-24,1999,Success,Card,Gateway Error
50230,10354,3080,2024-03-29,3999,Success,Wallet,Timeout
50231,11566,3877,2023-05-06,1999,Success,Wallet,Timeout
50232,11339,1725,2024-07-14,999,Failed,Wallet,Timeout
50233,14878,3757,2022-04-29,999,Success,Wallet,
50234,10329,2559,2022-03-12,3999,Success,Wallet,Timeout
50235,11494,735,2023-07-29,1999,Success,Wallet,
50236,12830,4134,2023-06-04,3999,Success,Wallet,
50237,11487,571,2022-05-08,1999,Success,UPI,
50238,13736,3659,2023-10-17,1999,Success,Wallet,
50239,10738,3205,2024-02-20,999,Success,Card,Insufficient Funds
50240,15368,3293,2023-07-09,999,Success,UPI,Timeout
50241,13889,1748,2022-10-29,1999,Success,UPI,Gateway Error
50242,15291,4756,2022-08-06,3999,Success,UPI,Gateway Error
50243,14844,2130,2024-01-01,3999,Success,Card,Gateway Error
50244,11795,1420,2023-09-07,3999,Success,Card,
50245,11303,881,2024-03-13,1999,Failed,UPI,
50246,12669,849,2022-02-27,1999,Success,UPI,
50247,14239,765,2022-05-12,1999,Success,UPI,
50248,13883,3671,2023-04-18,999,Success,Wallet,Insufficient Funds
50249,15072,2034,2023-12-25,1999,Success,Wallet,
50250,14167,4348,2023-08-05,3999,Success,Wallet,
50251,10638,1396,2023-03-06,1999,Success,Wallet,Gateway Error
50252,14563,3406,2022-11-02,1999,Success,UPI,Gateway Error
50253,12642,1348,2023-10-22,999,Success,Card,Insufficient Funds
50254,10041,708,2022-02-14,999,Success,Card,
50255,13986,855,2022-12-24,999,Success,Card,Gateway Error
50256,12947,2084,2024-01-29,999,Success,Card,Insufficient Funds
50257,10771,1254,2023-10-30,3999,Success,UPI,Timeout
50258,15264,1669,2024-04-03,1999,Success,Wallet,
50259,14375,3355,2023-04-01,1999,Success,Wallet,
50260,13017,1563,2023-09-24,999,Success,Wallet,Gateway Error
50261,13711,1631,2024-04-28,3999,Success,UPI,
50262,10058,3247,2022-05-22,3999,Success,UPI,
50263,14264,2950,2023-09-14,999,Success,UPI,Insufficient Funds
50264,11654,3512,2023-12-14,999,Success,UPI,Gateway Error
50265,13238,1152,2022-12-20,999,Success,UPI,Timeout
50266,10082,4608,2024-06-17,1999,Success,Wallet,Timeout
50267,14230,3470,2023-04-26,999,Success,Wallet,
50268,11509,278,2023-07-19,1999,Success,UPI,Gateway Error
50269,15166,3767,2023-11-30,999,Success,Card,
50270,10262,331,2024-06-13,999,Success,Card,Insufficient Funds
50271,13707,871,2024-06-20,3999,Pending,Card,
50272,14115,377,2022-09-05,3999,Failed,Card,Insufficient Funds
50273,12318,2637,2023-06-28,1999,Success,Card,
50274,14673,2822,2023-03-14,1999,Success,UPI,Gateway Error
50275,13803,3476,2024-03-14,3999,Success,Card,Insufficient Funds
50276,12912,4094,2023-10-17,3999,Success,Card,
50277,10669,822,2023-10-04,1999,Success,Wallet,Timeout
50278,11271,4098,2022-04-16,3999,Pending,Card,
50279,11735,1864,2023-11-17,1999,Pending,Wallet,Timeout
50280,13815,3742,2023-04-29,999,Success,Card,
50281,15422,4224,2024-02-12,3999,Success,Wallet,
50282,14020,3204,2024-07-19,1999,Success,UPI,Gateway Error
50283,14716,943,2023-09-09,999,Success,UPI,Gateway Error
50284,13858,2090,2022-03-05,3999,Success,Card,Insufficient Funds
50285,11900,3754,2022-08-07,1999,Success,UPI,Insufficient Funds
50286,15098,259,2023-10-11,1999,Success,UPI,
50287,12232,1234,2023-08-12,1999,Success,UPI,Gateway Error
50288,10441,4133,2024-04-05,1999,Success,Wallet,Timeout
50289,10581,2070,2024-06-24,3999,Success,Card,
50290,13322,1185,2022-02-28,999,Success,Wallet,
50291,10376,2407,2023-04-06,1999,Success,Card,
50292,13802,3505,2022-05-18,1999,Success,Card,
50293,11808,1879,2022-03-06,3999,Success,UPI,Timeout
50294,10729,3510,2023-03-20,999,Success,UPI,Insufficient Funds
50295,12438,830,2023-10-01,3999,Success,Wallet,
50296,14276,4110,2022-06-07,3999,Failed,UPI,Insufficient Funds
50297,12424,48,2023-08-23,3999,Failed,Wallet,Insufficient Funds
50298,12892,1266,2023-10-29,3999,Success,Card,Gateway Error
50299,12377,3969,2022-06-30,1999,Success,Wallet,Timeout
50300,11969,3484,2024-03-04,1999,Success,Wallet,
50301,12248,3843,2023-07-24,3999,Success,Wallet,Timeout
50302,12744,3576,2024-01-15,999,Success,Wallet,Timeout
50303,12857,1910,2022-06-03,999,Success,UPI,Timeout
50304,11760,1735,2022-04-30,3999,Pending,Card,Insufficient Funds
50305,15088,1122,2023-08-26,1999,Success,UPI,Gateway Error
50306,11913,816,2022-12-28,1999,Pending,UPI,
50307,13673,2019,2022-04-13,999,Success,Wallet,Insufficient Funds
50308,13809,2515,2023-05-02,999,Success,Wallet,Gateway Error
50309,11983,1720,2022-11-20,3999,Success,UPI,Timeout
50310,12678,735,2023-10-15,999,Success,Card,
50311,15276,3517,2022-06-06,1999,Failed,Wallet,Timeout
50312,11695,1907,2023-08-14,999,Success,Wallet,Gateway Error
50313,14532,1263,2022-10-10,999,Success,Wallet,Timeout
50314,11738,558,2023-05-18,1999,Success,Card,Timeout
50315,10046,3363,2022-10-27,3999,Success,UPI,Timeout
50316,11942,4162,2024-07-05,999,Success,Card,Timeout
50317,14340,290,2022-09-19,1999,Success,Wallet,Gateway Error
50318,10156,2275,2022-12-12,3999,Failed,Wallet,Timeout
50319,13466,3871,2023-07-12,999,Success,UPI,Gateway Error
50320,10962,3596,2023-07-21,999,Success,Wallet,
50321,10945,4271,2024-05-23,3999,Success,Wallet,Insufficient Funds
50322,11279,3293,2024-03-17,999,Success,Wallet,Timeout
50323,11386,3713,2023-10-11,3999,Success,UPI,Insufficient Funds
50324,14055,847,2023-05-18,1999,Pending,UPI,Gateway Error
50325,13920,2810,2023-10-24,3999,Success,UPI,Insufficient Funds
50326,11737,2318,2024-06-19,3999,Success,UPI,
50327,12867,2954,2022-07-20,999,Success,Wallet,Gateway Error
50328,12425,4931,2022-05-26,3999,Success,UPI,Timeout
50329,14249,2388,2023-11-09,999,Pending,Wallet,Timeout
50330,13839,2944,2023-02-07,3999,Failed,Card,Gateway Error
50331,12820,4983,2022-07-02,1999,Success,Wallet,Gateway Error
50332,13224,1920,2022-11-10,1999,Success,Card,Timeout
50333,12651,859,2023-05-31,3999,Success,Wallet,Timeout
50334,10240,1140,2023-11-01,3999,Success,Wallet,Insufficient Funds
50335,13255,1035,2023-01-31,999,Success,Card,
50336,14527,2947,2023-06-30,1999,Success,Card,
50337,10500,167,2023-08-14,999,Success,Wallet,Gateway Error
50338,13870,2010,2024-02-12,999,Success,Card,Insufficient Funds
50339,14393,2611,2022-12-01,999,Success,Card,Insufficient Funds
50340,12231,1824,2022-07-27,1999,Success,Wallet,Timeout
50341,15179,1972,2022-11-12,3999,Success,Wallet,
50342,13629,328,2024-01-15,1999,Failed,Card,Insufficient Funds
50343,11430,3597,2022-02-17,999,Success,UPI,Timeout
50344,10527,821,2024-02-16,999,Success,Wallet,Timeout
50345,11809,3893,2023-07-04,999,Success,UPI,Insufficient Funds
50346,11211,4495,2022-07-21,999,Failed,UPI,Gateway Error
50347,13948,4533,2022-11-18,3999,Success,Wallet,Insufficient Funds
50348,11049,3193,2023-12-12,999,Success,UPI,Timeout
50349,14395,2858,2024-01-08,3999,Success,UPI,Insufficient Funds
50350,14669,4893,2022-08-24,3999,Success,UPI,Insufficient Funds
50351,11155,2779,2022-06-14,999,Success,Card,Insufficient Funds
50352,10676,2683,2023-05-11,999,Success,Card,
50353,13039,4622,2024-03-11,3999,Success,Card,Insufficient Funds
50354,13279,489,2023-08-05,3999,Failed,Card,Timeout
50355,12286,1789,2024-07-11,999,Success,Wallet,Insufficient Funds
50356,12240,4846,2023-10-07,1999,Success,Card,Insufficient Funds
50357,11052,1391,2023-07-30,999,Success,UPI,
50358,13179,1339,2023-01-28,1999,Success,UPI,
50359,13295,1134,2022-07-01,3999,Success,UPI,Insufficient Funds
50360,15500,2922,2024-07-03,1999,Pending,Card,Timeout
50361,10429,4652,2022-03-05,999,Success,Wallet,Insufficient Funds
50362,12132,2457,2022-04-30,3999,Success,Wallet,
50363,10498,3163,2023-09-13,3999,Success,Wallet,Timeout
50364,12285,239,2023-05-29,3999,Success,UPI,
50365,13867,4413,2023-07-27,1999,Success,UPI,Timeout
50366,10851,770,2024-03-18,1999,Success,UPI,Gateway Error
50367,12660,2127,2024-06-11,3999,Success,Card,Timeout
50368,12892,4087,2022-06-06,1999,Success,Card,Timeout
50369,11059,4426,2022-04-12,999,Failed,Card,Gateway Error
50370,15040,777,2022-04-03,1999,Pending,Wallet,Gateway Error
50371,12145,3779,2024-01-13,3999,Success,Wallet,Insufficient Funds
50372,13305,1734,2022-12-24,999,Success,Wallet,Gateway Error
50373,12573,2949,2024-02-16,3999,Success,Card,Insufficient Funds
50374,11782,1694,2024-02-01,3999,Success,Wallet,Insufficient Funds
50375,15022,2519,2022-07-03,999,Success,Wallet,Insufficient Funds
50376,10489,3134,2022-07-25,3999,Success,Wallet,Gateway Error
50377,10404,4231,2022-12-04,999,Failed,Wallet,Gateway Error
50378,14870,947,2024-04-06,1999,Success,Wallet,Insufficient Funds
50379,15343,4256,2023-01-20,999,Success,Card,Timeout
50380,10403,4938,2023-02-07,1999,Success,Wallet,Insufficient Funds
50381,13658,2803,2022-08-21,999,Success,Wallet,Gateway Error
50382,11802,1125,2023-10-30,999,Success,Card,Timeout
50383,10184,1249,2024-01-02,3999,Success,UPI,Insufficient Funds
50384,14991,555,2023-01-24,1999,Success,Wallet,Timeout
50385,13640,1389,2024-05-15,999,Success,UPI,
50386,11517,415,2024-01-17,999,Success,Card,Insufficient Funds
50387,14157,3648,2022-08-09,3999,Success,Wallet,
50388,11709,840,2023-11-28,3999,Success,UPI,
50389,15086,1207,2023-06-19,1999,Pending,UPI,Timeout
50390,13694,656,2024-02-15,3999,Success,Card,Insufficient Funds
50391,11948,1656,2022-09-21,999,Success,Card,
50392,14242,4873,2022-10-20,999,Success,UPI,Timeout
50393,11550,979,2022-04-08,999,Failed,Wallet,Timeout
50394,14279,551,2022-09-07,3999,Success,Wallet,Insufficient Funds
50395,14411,300,2024-03-23,1999,Success,Card,Gateway Error
50396,13949,1321,2023-10-18,999,Success,Wallet,Timeout
50397,14755,4684,2024-04-28,3999,Success,Card,Gateway Error
50398,12792,3017,2022-04-16,999,Failed,Card,Timeout
50399,10996,3980,2024-02-26,3999,Success,Card,Timeout
50400,12857,2096,2022-10-01,1999,Success,Wallet,Gateway Error
50401,10652,205,2023-11-19,3999,Success,Card,Insufficient Funds
50402,10893,3872,2023-12-27,1999,Success,UPI,
50403,12837,422,2022-08-07,1999,Failed,Card,Timeout
50404,12003,1986,2022-07-24,3999,Success,UPI,Timeout
50405,11065,1974,2023-04-08,1999,Success,Wallet,Insufficient Funds
50406,12431,3861,2022-04-03,3999,Success,UPI,
50407,10169,3747,2024-02-26,999,Success,Card,Insufficient Funds
50408,10171,1704,2022-06-24,1999,Failed,Card,Timeout
50409,13690,4646,2023-02-15,999,Success,Card,Timeout
50410,10739,4025,2022-09-23,999,Success,Wallet,Insufficient Funds
50411,13528,3237,2023-04-25,1999,Success,Wallet,Timeout
50412,13563,3684,2024-04-26,3999,Failed,Card,
50413,11318,1794,2023-08-20,3999,Success,Wallet,
50414,11288,1711,2023-04-22,3999,Failed,UPI,Gateway Error
50415,12295,3622,2023-02-25,3999,Failed,UPI,Insufficient Funds
50416,14244,684,2022-07-11,999,Success,Wallet,
50417,14037,23,2022-08-18,3999,Success,Wallet,Gateway Error
50418,14537,1433,2022-12-25,1999,Failed,Card,Insufficient Funds
50419,14458,2489,2023-10-22,999,Success,Card,
50420,12270,3130,2022-06-03,3999,Success,UPI,Gateway Error
50421,10658,1792,2023-07-27,999,Failed,Card,Gateway Error
50422,14204,1818,2023-07-04,1999,Success,Wallet,Gateway Error
50423,15335,4783,2022-12-14,1999,Success,UPI,
50424,13202,3168,2023-06-08,3999,Success,Card,Gateway Error
50425,10576,3496,2022-06-22,1999,Success,Wallet,Gateway Error
50426,10300,4558,2022-08-08,999,Success,Wallet,Insufficient Funds
50427,13507,4725,2022-12-17,1999,Success,Card,Gateway Error
50428,11893,752,2023-08-21,3999,Success,UPI,Gateway Error
50429,15482,3427,2024-05-15,999,Success,Wallet,Timeout
50430,10224,666,2022-05-01,3999,Success,UPI,
50431,13649,308,2023-04-04,999,Success,UPI,Insufficient Funds
50432,15494,1869,2024-05-06,3999,Failed,Card,
50433,12742,303,2022-07-12,1999,Success,Wallet,Timeout
50434,15228,712,2023-06-27,1999,Success,Card,Insufficient Funds
50435,15471,526,2023-09-29,3999,Success,UPI,
50436,11859,4143,2022-10-13,3999,Success,Card,
50437,13695,760,2023-05-24,3999,Success,Wallet,Timeout
50438,12298,4702,2023-04-17,3999,Success,Wallet,
50439,14337,2547,2023-12-01,3999,Success,UPI,Timeout
50440,12865,106,2022-07-15,1999,Success,UPI,Insufficient Funds
50441,13545,4836,2024-02-18,3999,Success,UPI,Timeout
50442,11700,907,2023-01-11,999,Success,UPI,
50443,13335,2419,2022-04-09,999,Success,Wallet,Timeout
50444,12063,4888,2024-05-10,1999,Failed,UPI,Insufficient Funds
50445,10665,3666,2022-10-09,3999,Failed,Card,Timeout
50446,10496,70,2022-02-01,1999,Success,UPI,Insufficient Funds
50447,11465,2926,2024-01-13,1999,Success,UPI,Gateway Error
