user_id,signup_date,country,acquisition_channel,company_size,user_status
42,2023-11-13,Australia,Organic,SMB,Active
43,2023-04-21,India,Paid,Mid,Active
44,2023-12-01,USA,Paid,Enterprise,Active
45,2024-02-22,Australia,Organic,SMB,Active
46,2022-07-09,Australia,Partner,SMB,Active
47,2023-11-18,Germany,Organic,SMB,Active
48,2023-07-17,UK,Partner,Enterprise,Active
49,2024-05-25,UK,Referral,Mid,Active
50,2023-07-21,Germany,Partner,Mid,Active
51,2022-09-01,Germany,Referral,Mid,Active
52,2024-04-11,Germany,Organic,Mid,Active
53,2023-05-20,UK,Referral,SMB,Active
54,2022-05-11,Germany,Paid,Enterprise,Active
55,2023-04-30,India,Referral,SMB,Active
56,2024-03-29,Australia,Partner,Enterprise,Active
57,2023-10-09,Australia,Partner,Mid,Active
58,2022-01-21,USA,Partner,Enterprise,Active
59,2024-04-20,USA,Referral,SMB,Active
60,2022-06-16,Australia,Partner,SMB,Active
61,2022-10-01,India,Partner,Mid,Active
62,2023-01-23,UK,Paid,SMB,Active
63,2023-08-24,UK,Referral,SMB,Active
64,2022-11-12,India,Paid,Enterprise,Inactive
65,2022-01-14,UK,Partner,SMB,Active
66,2022-08-30,Germany,Partner,Mid,Active
67,2024-02-16,Australia,Partner,Mid,Active
68,2022-12-12,Australia,Referral,SMB,Active
69,2023-07-19,India,Organic,Mid,Active
70,2024-06-16,UK,Partner,Enterprise,Active
71,2022-12-06,USA,Partner,Enterprise,Active
72,2022-04-02,USA,Partner,SMB,Active
73,2023-01-02,UK,Partner,SMB,Active
74,2023-03-31,USA,Referral,Enterprise,Active
75,2023-03-04,India,Organic,Mid,Active
76,2023-05-24,India,Organic,SMB,Active
77,2024-02-15,UK,Organic,SMB,Active
78,2022-02-04,USA,Partner,Mid,Active
79,2022-07-25,India,Partner,SMB,Active
80,2022-03-22,India,Organic,Mid,Inactive
81,2023-07-16,Germany,Organic,Mid,Active
82,2024-05-21,Germany,Partner,Mid,Active
83,2023-01-23,India,Partner,Mid,Active
84,2022-01-02,UK,Paid,Mid,Active
85,2023-01-25,Australia,Paid,Enterprise,Active
86,2023-07-20,Australia,Paid,Mid,Active
87,2022-04-16,India,Organic,Enterprise,Active
88,2024-02-11,India,Referral,Mid,Inactive
89,2024-04-01,India,Partner,SMB,Active
90,2023-04-22,UK,Paid,Enterprise,Inactive
91,2023-12-04,Germany,Referral,SMB,Active
92,2023-02-06,India,Partner,Mid,Active
93,2023-12-31,India,Referral,Mid,Active
94,2023-07-10,USA,Organic,SMB,Active
95,2022-06-11,UK,Organic,Mid,Active
96,2022-07-21,India,Organic,SMB,Active
97,2022-09-27,USA,Paid,Mid,Inactive
98,2024-05-12,Australia,Partner,Mid,Inactive
99,2024-03-26,India,Organic,Enterprise,Active
100,2022-09-28,India,Paid,SMB,Active
101,2023-04-01,USA,Paid,Mid,Active
102,2023-04-07,UK,Paid,SMB,Active
103,2023-12-28,India,Paid,Enterprise,Active
104,2022-09-09,Australia,Organic,SMB,Inactive
105,2023-12-03,India,Paid,Enterprise,Active
106,2022-10-23,Australia,Organic,SMB,Active
107,2023-12-26,Germany,Organic,SMB,Active
108,2023-12-21,Germany,Paid,Enterprise,Active
109,2024-01-19,Australia,Organic,Mid,Active
110,2022-12-04,UK,Partner,Mid,Active
111,2024-05-28,India,Partner,Mid,Inactive
112,2022-02-22,India,Referral,SMB,Active
113,2024-03-02,Germany,Partner,SMB,Active
114,2022-08-05,Australia,Organic,Mid,Active
115,2024-02-03,India,Organic,SMB,Inactive
116,2022-07-07,India,Partner,SMB,Inactive
117,2023-01-15,UK,Paid,Mid,Active
118,2023-05-08,USA,Paid,Enterprise,Active
119,2022-02-10,Germany,Organic,SMB,Inactive
120,2022-06-06,Germany,Paid,SMB,Active
121,2022-01-15,USA,Referral,SMB,Active
122,2024-03-23,India,Referral,SMB,Active
123,2022-03-06,UK,Partner,Enterprise,Active
124,2024-05-06,UK,Partner,Mid,Active
125,2024-04-18,Germany,Paid,SMB,Active
126,2023-06-05,UK,Organic,Mid,Active
127,2022-12-10,USA,Partner,SMB,Active
128,2022-05-09,India,Referral,Enterprise,Active
129,2023-10-10,USA,Partner,Mid,Active
130,2023-04-17,Australia,Partner,Enterprise,Active
131,2022-03-04,Germany,Referral,SMB,Active
132,2022-05-19,UK,Organic,Enterprise,Active
133,2023-05-14,Australia,Partner,Enterprise,Inactive
134,2023-08-16,UK,Partner,SMB,Inactive
135,2023-01-27,India,Partner,SMB,Inactive
136,2023-11-06,India,Paid,Mid,Active
137,2023-02-23,India,Partner,SMB,Active
138,2022-10-16,UK,Referral,Mid,Inactive
139,2023-01-14,Australia,Organic,Enterprise,Active
140,2024-02-12,India,Organic,Enterprise,Active
141,2023-05-05,Australia,Referral,Mid,Active
142,2022-08-19,UK,Paid,SMB,Active
143,2022-02-10,Australia,Referral,SMB,Active
144,2022-01-28,UK,Organic,Enterprise,Active
145,2022-05-15,UK,Referral,Mid,Active
146,2022-07-20,Germany,Paid,Enterprise,Active
147,2024-04-19,UK,Organic,Enterprise,Inactive
148,2024-02-19,UK,Paid,SMB,Active
149,2022-02-02,USA,Referral,Mid,Active
150,2022-02-17,India,Partner,Enterprise,Inactive
151,2023-05-18,Germany,Referral,SMB,Active
152,2023-02-11,Germany,Paid,Enterprise,Active
153,2023-07-28,Germany,Referral,Enterprise,Active
154,2023-12-29,USA,Partner,SMB,Active
155,2024-03-15,UK,Paid,SMB,Inactive
156,2022-04-09,India,Referral,Mid,Active
157,2023-11-15,Australia,Paid,Enterprise,Inactive
158,2024-05-21,UK,Paid,Mid,Active
159,2023-12-27,USA,Organic,SMB,Active
160,2023-07-01,UK,Organic,SMB,Active
161,2024-01-09,UK,Paid,Enterprise,Active
162,2023-09-05,USA,Referral,Mid,Active
163,2023-04-07,Germany,Referral,Mid,Active
164,2023-10-05,Germany,Referral,Enterprise,Active
165,2024-02-08,India,Partner,Enterprise,Active
166,2022-01-05,India,Paid,Mid,Active
167,2022-08-06,Germany,Paid,SMB,Active
168,2023-05-18,Australia,Partner,SMB,Active
169,2024-02-06,UK,Paid,Enterprise,Active
170,2023-02-02,Australia,Paid,Mid,Inactive
171,2024-05-20,UK,Partner,Mid,Active
172,2024-03-05,Germany,Organic,Mid,Active
173,2023-01-28,India,Paid,SMB,Active
174,2022-07-26,India,Partner,SMB,Active
175,2022-01-15,Australia,Referral,Mid,Inactive
176,2024-05-07,India,Organic,Mid,Active
177,2023-07-08,Germany,Referral,Enterprise,Inactive
178,2024-06-10,Australia,Paid,Enterprise,Active
179,2023-04-06,UK,Organic,Mid,Inactive
180,2023-11-22,India,Partner,Mid,Active
181,2023-07-29,USA,Paid,SMB,Active
182,2024-05-13,India,Partner,Mid,Active
183,2024-01-13,UK,Organic,Enterprise,Active
184,2022-08-29,Australia,Referral,SMB,Active
185,2023-07-18,UK,Paid,Enterprise,Active
186,2022-04-06,USA,Paid,Enterprise,Active
187,2024-06-18,Germany,Partner,SMB,Active
188,2024-01-04,India,Organic,Enterprise,Active
189,2023-04-30,Australia,Partner,Mid,Active
190,2023-02-11,Germany,Organic,Enterprise,Active
191,2022-08-19,UK,Paid,SMB,Active
192,2024-01-19,Australia,Organic,SMB,Inactive
193,2023-10-17,Germany,Paid,SMB,Active
194,2022-06-20,Australia,Organic,Enterprise,Active
195,2023-06-25,USA,Referral,Mid,Active
196,2022-02-05,USA,Organic,SMB,Inactive
197,2023-06-09,India,Referral,Mid,Active
198,2022-06-09,India,Organic,SMB,Active
199,2024-04-18,USA,Organic,Mid,Active
200,2023-11-30,Australia,Partner,Mid,Active
201,2022-08-31,USA,Partner,Mid,Active
202,2022-03-27,India,Paid,SMB,Active
203,2024-03-06,USA,Partner,Enterprise,Active
204,2023-08-01,USA,Organic,Enterprise,Inactive
205,2023-11-13,Australia,Partner,Enterprise,Active
206,2023-07-11,Germany,Organic,Mid,Active
207,2023-07-28,India,Referral,SMB,Active
208,2023-10-08,Australia,Organic,Mid,Active
209,2024-03-06,USA,Paid,SMB,Active
210,2022-01-28,USA,Referral,Mid,Active
211,2023-09-12,Germany,Paid,SMB,Active
212,2023-07-10,India,Paid,SMB,Active
213,2022-12-06,India,Paid,SMB,Inactive
214,2024-03-08,UK,Partner,Mid,Active
215,2022-11-27,India,Paid,Enterprise,Active
216,2023-10-02,Germany,Referral,Mid,Active
217,2023-05-21,UK,Organic,Mid,Active
218,2022-12-14,UK,Paid,SMB,Active
219,2023-04-18,USA,Referral,SMB,Active
220,2022-08-19,USA,Paid,Enterprise,Active
221,2022-07-09,India,Organic,Enterprise,Active
222,2022-08-13,UK,Referral,SMB,Active
223,2023-01-20,USA,Referral,Enterprise,Active
224,2023-01-12,Germany,Organic,Enterprise,Active
225,2022-10-10,USA,Referral,SMB,Active
226,2023-09-25,USA,Organic,Mid,Active
227,2023-09-20,UK,Referral,Enterprise,Active
228,2024-01-15,UK,Referral,SMB,Active
229,2022-09-16,Australia,Organic,Enterprise,Active
230,2022-12-25,Germany,Organic,Enterprise,Active
231,2023-12-11,UK,Referral,SMB,Active
232,2023-04-01,India,Referral,Enterprise,Active
233,2023-02-15,Germany,Organic,Enterprise,Active
234,2023-10-11,Germany,Partner,Enterprise,Inactive
235,2022-11-14,UK,Organic,Mid,Active
236,2023-11-08,Germany,Referral,Mid,Active
237,2022-08-13,UK,Referral,Enterprise,Active
238,2024-03-29,USA,Referral,SMB,Active
239,2022-08-22,Australia,Organic,Enterprise,Active
240,2023-11-15,USA,Referral,Enterprise,Active
241,2023-10-26,UK,Partner,Mid,Inactive
242,2024-04-06,UK,Paid,Mid,Inactive
243,2023-01-09,USA,Partner,Mid,Inactive
244,2023-11-03,India,Organic,Enterprise,Active
245,2023-08-31,India,Referral,Enterprise,Inactive
246,2023-04-17,India,Organic,SMB,Active
247,2022-08-21,UK,Paid,Enterprise,Active
248,2023-11-23,Germany,Organic,Enterprise,Active
249,2022-04-23,UK,Referral,Mid,Active
250,2024-04-09,Germany,Paid,Mid,Active
251,2023-05-12,USA,Paid,Mid,Active
252,2023-03-18,Australia,Referral,Mid,Active
253,2023-07-18,Germany,Referral,Mid,Inactive
254,2022-09-25,India,Referral,SMB,Active
255,2023-05-25,UK,Organic,SMB,Active
256,2024-03-17,USA,Partner,SMB,Active
257,2023-01-21,India,Organic,Mid,Inactive
258,2023-01-22,USA,Organic,Mid,Active
259,2022-04-23,Australia,Partner,Mid,Active
260,2023-09-05,UK,Referral,SMB,Inactive
261,2023-09-17,UK,Referral,Mid,Active
262,2022-03-22,Australia,Partner,SMB,Active
263,2023-11-30,UK,Partner,Mid,Active
264,2022-04-23,Germany,Organic,Enterprise,Active
265,2022-01-02,USA,Paid,SMB,Active
266,2023-10-04,India,Partner,Enterprise,Active
267,2022-08-08,Australia,Organic,SMB,Inactive
268,2023-07-20,Germany,Paid,Mid,Inactive
269,2024-05-04,India,Referral,Mid,Active
270,2024-01-06,India,Referral,Enterprise,Active
271,2022-08-13,Australia,Organic,Mid,Inactive
272,2023-01-20,Germany,Organic,SMB,Active
273,2023-02-07,India,Partner,Mid,Active
274,2023-09-30,India,Referral,Mid,Active
275,2022-05-10,Germany,Organic,SMB,Active
276,2022-02-22,UK,Referral,Enterprise,Active
277,2023-11-15,India,Referral,Enterprise,Active
278,2023-12-31,USA,Partner,Mid,Active
279,2023-11-03,Germany,Paid,SMB,Inactive
280,2023-12-11,India,Partner,Enterprise,Active
281,2023-02-20,Australia,Organic,Enterprise,Active
282,2022-09-04,USA,Partner,Mid,Inactive
283,2024-04-15,India,Partner,SMB,Active
284,2023-03-15,USA,Referral,Enterprise,Active
285,2022-07-22,USA,Partner,Mid,Active
286,2022-07-03,UK,Organic,Mid,Active
287,2022-05-03,USA,Paid,Mid,Active
288,2023-02-05,UK,Partner,Mid,Active
289,2024-02-06,Germany,Partner,Enterprise,Active
290,2022-10-21,UK,Paid,SMB,Inactive
291,2022-10-07,Australia,Organic,Mid,Active
292,2024-04-16,India,Organic,Mid,Active
293,2024-06-02,Germany,Partner,Enterprise,Active
294,2023-09-02,Germany,Referral,Mid,Active
295,2022-07-17,Australia,Partner,Mid,Active
296,2023-05-26,UK,Paid,SMB,Active
297,2024-01-22,India,Paid,Mid,Active
298,2022-05-24,UK,Paid,Enterprise,Active
299,2023-09-01,USA,Partner,SMB,Active
300,2022-07-20,UK,Partner,Enterprise,Active
301,2022-05-04,Germany,Organic,SMB,Inactive
302,2022-07-06,India,Referral,SMB,Active
303,2022-11-22,UK,Partner,Mid,Active
304,2023-04-09,India,Organic,Mid,Active
305,2022-12-15,India,Partner,Mid,Active
306,2024-02-10,USA,Organic,Enterprise,Active
307,2023-10-22,USA,Organic,Mid,Active
308,2024-02-03,Germany,Referral,Mid,Active
309,2023-02-07,Australia,Partner,SMB,Active
310,2022-12-12,India,Organic,Mid,Active
311,2023-05-26,Australia,Paid,Mid,Active
312,2022-05-27,Germany,Paid,Mid,Active
313,2022-05-28,India,Paid,Mid,Active
314,2024-05-13,India,Referral,SMB,Active
315,2023-12-12,Australia,Organic,Mid,Inactive
316,2024-03-30,UK,Referral,SMB,Active
317,2023-05-04,USA,Partner,Enterprise,Active
318,2023-10-02,UK,Partner,Mid,Inactive
319,2023-07-05,Australia,Organic,Mid,Active
320,2022-12-04,USA,Paid,Mid,Active
321,2024-05-21,UK,Organic,SMB,Active
322,2023-10-03,USA,Organic,Mid,Active
323,2024-02-18,India,Organic,Mid,Active
324,2023-04-18,UK,Referral,Enterprise,Inactive
325,2022-05-31,USA,Partner,SMB,Active
326,2023-02-19,USA,Organic,SMB,Active
327,2022-10-25,USA,Organic,Enterprise,Active
328,2023-09-03,UK,Organic,SMB,Active
329,2022-09-20,Germany,Referral,Mid,Active
330,2024-02-03,UK,Referral,Mid,Active
331,2022-05-24,Australia,Referral,Enterprise,Active
332,2022-12-12,UK,Organic,SMB,Active
333,2023-09-16,USA,Paid,SMB,Active
334,2023-07-26,India,Paid,SMB,Active
335,2024-05-30,UK,Paid,Enterprise,Active
336,2022-01-02,UK,Partner,Mid,Active
337,2024-06-15,USA,Organic,Enterprise,Inactive
338,2022-10-31,India,Paid,Mid,Active
339,2022-09-11,India,Paid,Enterprise,Active
340,2023-10-14,Australia,Paid,Mid,Active
341,2023-03-29,UK,Organic,SMB,Active
342,2022-02-06,India,Paid,SMB,Active
343,2022-06-09,India,Paid,SMB,Active
344,2022-01-09,Germany,Organic,Enterprise,Active
345,2022-08-21,Germany,Partner,Enterprise,Inactive
346,2022-04-09,India,Referral,Enterprise,Inactive
347,2023-10-21,Australia,Paid,SMB,Active
348,2024-03-26,India,Referral,Mid,Active
349,2022-07-27,USA,Partner,SMB,Inactive
350,2022-05-11,UK,Partner,SMB,Active
351,2023-02-08,Australia,Paid,Mid,Active
352,2022-06-01,USA,Organic,Mid,Active
353,2022-02-23,Australia,Partner,Mid,Active
354,2022-04-30,USA,Referral,Mid,Active
355,2023-11-04,UK,Referral,SMB,Inactive
356,2023-09-20,UK,Referral,Enterprise,Inactive
357,2023-08-10,Germany,Referral,SMB,Active
358,2023-09-17,USA,Partner,Mid,Active
359,2023-02-24,Germany,Paid,Enterprise,Active
360,2023-02-26,USA,Paid,Enterprise,Active
361,2022-04-14,Germany,Referral,SMB,Active
362,2024-05-01,UK,Paid,SMB,Active
363,2022-09-11,Australia,Referral,SMB,Active
364,2022-08-15,Germany,Referral,Enterprise,Active
365,2022-04-22,USA,Organic,Enterprise,Inactive
366,2023-05-25,USA,Partner,Enterprise,Inactive
367,2023-04-18,UK,Partner,Mid,Active
368,2022-04-09,USA,Referral,Mid,Active
369,2022-06-02,India,Partner,SMB,Active
370,2024-05-10,Australia,Paid,Enterprise,Active
371,2024-06-14,Germany,Referral,SMB,Inactive
372,2024-05-27,Australia,Organic,Enterprise,Active
373,2022-12-04,UK,Paid,SMB,Active
374,2023-12-07,Germany,Organic,Mid,Active
375,2024-04-01,Germany,Organic,Enterprise,Active
376,2022-06-12,India,Partner,Mid,Active
377,2023-12-21,UK,Partner,Enterprise,Active
378,2023-11-12,USA,Referral,SMB,Active
379,2022-06-10,India,Partner,Enterprise,Active
380,2023-08-03,India,Organic,Mid,Active
381,2024-03-11,Australia,Organic,Enterprise,Active
382,2023-02-02,Australia,Paid,SMB,Inactive
383,2022-10-04,Australia,Organic,Enterprise,Active
384,2024-03-26,India,Referral,Mid,Active
385,2023-05-19,USA,Referral,SMB,Active
386,2024-06-14,Germany,Partner,Mid,Active
387,2023-01-27,Australia,Partner,Enterprise,Active
388,2022-05-15,USA,Partner,Mid,Active
389,2022-07-14,UK,Referral,Enterprise,Active
390,2023-02-05,Australia,Organic,SMB,Active
391,2023-10-02,Germany,Partner,Mid,Active
392,2022-02-02,UK,Paid,Mid,Active
393,2023-11-19,UK,Partner,Enterprise,Inactive
394,2023-04-05,Germany,Referral,Mid,Active
395,2024-06-01,Australia,Partner,Mid,Active
396,2023-04-15,India,Organic,SMB,Inactive
397,2023-01-10,Germany,Partner,Enterprise,Active
398,2022-01-22,Germany,Referral,Enterprise,Active
399,2024-01-20,Germany,Referral,SMB,Active
400,2023-11-01,UK,Paid,SMB,Inactive
401,2022-02-07,USA,Referral,Enterprise,Active
402,2022-08-18,India,Paid,SMB,Inactive
403,2022-12-31,Australia,Organic,SMB,Active
404,2023-07-17,Australia,Referral,SMB,Active
405,2023-03-14,USA,Partner,Enterprise,Active
406,2024-02-15,Germany,Organic,SMB,Active
407,2022-10-10,India,Partner,Mid,Active
408,2022-01-27,Australia,Partner,Mid,Active
409,2022-08-14,Australia,Partner,Enterprise,Active
410,2022-10-04,Germany,Organic,SMB,Active
411,2024-03-08,USA,Organic,Mid,Active
412,2023-09-01,India,Referral,Enterprise,Active
413,2022-10-11,USA,Partner,Mid,Active
414,2024-05-28,USA,Paid,SMB,Active
415,2023-04-26,India,Referral,Enterprise,Active
416,2023-03-29,India,Organic,Mid,Inactive
417,2024-04-08,Australia,Paid,Enterprise,Active
418,2024-03-26,Australia,Organic,Mid,Active
419,2023-10-21,India,Paid,Mid,Active
420,2023-05-31,UK,Referral,SMB,Active
421,2023-07-01,Australia,Paid,SMB,Active
422,2022-07-11,UK,Referral,Mid,Active
423,2022-02-18,India,Organic,Enterprise,Inactive
424,2023-05-27,Australia,Paid,Enterprise,Active
425,2022-01-17,USA,Partner,SMB,Active
426,2022-06-21,India,Partner,Mid,Active
427,2022-08-08,Germany,Organic,SMB,Active
428,2022-06-07,UK,Paid,Mid,Active
429,2023-04-22,India,Partner,Mid,Active
430,2022-02-15,India,Referral,SMB,Active
431,2023-01-08,Australia,Paid,Enterprise,Active
432,2023-06-02,Australia,Paid,SMB,Active
433,2022-04-09,Australia,Partner,Mid,Active
434,2024-06-10,Germany,Referral,SMB,Active
435,2024-01-15,Australia,Referral,Enterprise,Active
436,2022-02-06,India,Referral,Enterprise,Active
437,2022-10-07,Australia,Paid,Mid,Active
438,2022-12-15,USA,Organic,SMB,Active
439,2023-05-12,Australia,Paid,Enterprise,Active
440,2022-10-29,Germany,Paid,SMB,Inactive
441,2022-06-30,USA,Partner,Enterprise,Active
442,2023-08-30,India,Organic,Mid,Active
443,2022-04-09,India,Referral,Mid,Active
444,2023-12-01,UK,Partner,SMB,Active
445,2022-04-26,USA,Paid,Mid,Active
446,2022-07-10,UK,Organic,Enterprise,Active
447,2022-09-10,USA,Referral,Mid,Active
448,2022-06-10,USA,Referral,Enterprise,Active
449,2022-09-13,Germany,Paid,Enterprise,Active
450,2022-11-19,UK,Referral,Mid,Active
451,2022-05-08,Germany,Referral,Enterprise,Active
452,2022-01-18,USA,Organic,Enterprise,Inactive
453,2024-03-03,India,Partner,SMB,Active
454,2024-01-05,USA,Organic,SMB,Active
455,2023-07-20,Germany,Partner,SMB,Active
456,2023-07-24,UK,Partner,Mid,Inactive
457,2022-11-19,UK,Partner,SMB,Inactive
458,2024-05-21,Germany,Referral,Enterprise,Active
459,2023-11-17,UK,Organic,Mid,Active
460,2024-03-02,Australia,Referral,Mid,Active
461,2023-09-18,India,Paid,Mid,Active
462,2022-10-15,India,Organic,Mid,Inactive
463,2024-05-03,India,Partner,Enterprise,Active
464,2023-10-25,UK,Referral,Enterprise,Active
465,2023-10-01,UK,Referral,SMB,Active
466,2022-06-04,USA,Organic,Mid,Active
467,2023-05-05,USA,Organic,SMB,Active
468,2023-01-21,India,Partner,Enterprise,Active
469,2024-02-24,Australia,Partner,Mid,Active
470,2022-04-14,USA,Paid,Enterprise,Inactive
471,2023-01-28,USA,Partner,SMB,Active
472,2024-03-21,UK,Referral,Enterprise,Active
473,2022-09-03,Australia,Paid,Mid,Active
474,2022-06-25,India,Paid,Mid,Active
475,2022-02-08,USA,Paid,SMB,Active
476,2023-04-22,Australia,Organic,Mid,Active
477,2023-11-13,Australia,Partner,Enterprise,Active
478,2024-01-29,India,Paid,Enterprise,Active
479,2023-06-22,Australia,Organic,Enterprise,Active
480,2024-05-16,Australia,Organic,Enterprise,Active
481,2024-03-28,Australia,Paid,SMB,Active
482,2023-02-12,USA,Paid,Enterprise,Inactive
483,2023-06-09,India,Referral,SMB,Active
484,2024-04-07,Australia,Paid,Enterprise,Active
485,2023-05-21,Australia,Referral,SMB,Active
486,2024-04-04,USA,Paid,Enterprise,Active
487,2022-02-05,India,Paid,Enterprise,Active
488,2023-11-16,UK,Partner,SMB,Active
489,2022-01-20,USA,Paid,Mid,Active
490,2022-11-17,India,Paid,Mid,Active
491,2024-02-15,Australia,Referral,Mid,Inactive
492,2023-05-27,India,Referral,SMB,Active
493,2023-02-04,India,Partner,Mid,Active
494,2023-10-16,India,Paid,Mid,Active
495,2024-06-01,UK,Paid,SMB,Active
496,2023-04-16,India,Referral,Mid,Inactive
497,2022-05-23,UK,Organic,Mid,Active
498,2022-04-02,Australia,Organic,Mid,Active
499,2022-12-20,UK,Organic,SMB,Active
500,2024-04-13,Australia,Referral,SMB,Active
501,2024-03-10,Australia,Referral,Mid,Active
502,2023-12-28,UK,Organic,Mid,Active
503,2024-05-03,USA,Organic,SMB,Inactive
504,2022-02-20,Germany,Paid,Mid,Active
505,2023-10-27,India,Referral,SMB,Active
506,2023-11-29,Germany,Referral,Mid,Active
507,2023-07-29,India,Organic,SMB,Active
508,2022-07-09,India,Organic,Enterprise,Active
509,2022-05-05,Australia,Partner,Enterprise,Active
510,2022-05-30,India,Referral,SMB,Active
511,2022-11-10,India,Partner,Enterprise,Active
512,2023-07-24,UK,Paid,Mid,Active
513,2022-12-08,Germany,Partner,SMB,Inactive
514,2022-11-01,UK,Organic,SMB,Active
515,2023-11-23,India,Referral,Mid,Active
516,2023-11-13,Australia,Referral,Mid,Active
517,2024-04-17,UK,Partner,SMB,Active
518,2024-02-22,UK,Partner,Mid,Active
519,2022-02-23,USA,Paid,SMB,Active
520,2023-03-20,India,Paid,Mid,Active
521,2023-09-05,Australia,Organic,SMB,Active
522,2022-09-21,UK,Organic,Mid,Active
523,2022-02-22,UK,Organic,Mid,Active
524,2023-07-26,Australia,Partner,Enterprise,Active
525,2023-09-12,India,Partner,Enterprise,Inactive
526,2022-01-05,USA,Referral,Enterprise,Active
527,2022-04-13,UK,Organic,Mid,Inactive
528,2022-07-15,USA,Partner,SMB,Inactive
529,2024-02-13,Germany,Referral,Mid,Active
530,2024-05-26,India,Organic,Enterprise,Active
531,2024-06-02,Germany,Paid,Mid,Inactive
532,2022-12-16,Germany,Paid,Enterprise,Active
533,2022-02-16,Germany,Partner,Enterprise,Active
534,2024-05-16,India,Referral,SMB,Active
535,2024-04-02,India,Paid,SMB,Active
536,2024-03-30,Australia,Referral,Enterprise,Active
537,2023-10-18,USA,Referral,Enterprise,Active
538,2022-09-26,USA,Paid,Mid,Active
539,2023-01-05,Australia,Referral,Enterprise,Active
540,2023-09-28,Australia,Paid,Mid,Active
541,2022-04-16,Germany,Partner,Enterprise,Active
542,2023-11-01,Australia,Organic,SMB,Inactive
543,2023-10-21,UK,Organic,SMB,Active
544,2023-10-19,USA,Partner,Enterprise,Active
545,2022-04-30,Australia,Paid,Mid,Inactive
546,2024-04-10,UK,Paid,Mid,Active
547,2024-02-26,UK,Paid,Mid,Active
548,2023-08-27,UK,Paid,Enterprise,Inactive
549,2022-02-27,UK,Partner,Enterprise,Inactive
550,2022-12-12,Germany,Organic,SMB,Active
551,2024-01-11,UK,Referral,SMB,Active
552,2023-04-19,Germany,Referral,Enterprise,Inactive
553,2022-04-27,Germany,Organic,SMB,Active
554,2024-04-09,UK,Partner,Mid,Active
555,2024-03-01,USA,Referral,Mid,Active
556,2022-05-07,UK,Organic,Enterprise,Active
557,2023-01-28,UK,Partner,Mid,Active
558,2023-10-03,UK,Referral,Enterprise,Active
559,2022-02-27,USA,Paid,Mid,Active
560,2023-09-26,India,Paid,Enterprise,Active
561,2023-05-28,India,Partner,Mid,Active
562,2024-01-21,Germany,Paid,Mid,Active
563,2024-03-12,Germany,Partner,SMB,Active
564,2022-04-06,USA,Organic,SMB,Inactive
565,2023-09-30,Australia,Organic,SMB,Active
566,2022-04-28,India,Referral,SMB,Active
567,2023-07-14,Germany,Partner,SMB,Active
568,2023-08-24,India,Referral,SMB,Active
569,2023-05-03,USA,Referral,Enterprise,Inactive
570,2022-08-25,USA,Organic,Enterprise,Active
571,2024-06-03,Australia,Referral,SMB,Active
572,2024-06-15,Australia,Paid,Enterprise,Active
573,2022-09-29,USA,Referral,SMB,Active
574,2022-07-08,Germany,Partner,Enterprise,Active
575,2023-12-05,India,Paid,Mid,Active
576,2023-03-23,UK,Organic,Enterprise,Inactive
577,2023-08-04,Australia,Partner,Enterprise,Active
578,2024-02-29,UK,Paid,Enterprise,Active
579,2024-05-10,Germany,Partner,Mid,Active
