subscription_id,user_id,plan_name,billing_cycle,plan_price,start_date,renewal_date,subscription_status
10035,2316,Pro,Annual,1999,2023-08-04,2024-08-03,Cancelled
10036,4004,Premium,Monthly,3999,2022-07-18,2023-07-18,Active
10037,2314,Basic,Monthly,999,2023-02-10,2024-02-10,Active
10038,4624,Pro,Monthly,1999,2023-03-03,2023-04-02,Active
10039,3164,Pro,Monthly,1999,2023-04-06,2024-04-05,Active
10040,3320,Pro,Monthly,1999,2023-04-25,2024-04-24,Expired
10041,3462,Basic,Monthly,999,2023-12-29,2024-01-28,Expired
10042,430,Pro,Annual,1999,2022-05-04,2022-06-03,Active
10043,2989,Premium,Monthly,3999,2023-06-12,2024-06-11,Cancelled
10044,3797,Basic,Monthly,999,2023-09-30,2024-09-29,Active
10045,1597,Pro,Annual,1999,2023-06-10,2024-06-09,Cancelled
10046,3363,Pro,Monthly,1999,2022-02-08,2022-03-10,Cancelled
10047,2351,Pro,Annual,1999,2022-07-18,2023-07-18,Active
10048,1780,Pro,Annual,1999,2022-04-18,2022-05-18,Active
10049,3989,Pro,Monthly,1999,2022-09-25,2022-10-25,Active
10050,2449,Basic,Monthly,999,2022-12-19,2023-01-18,Expired
10051,2871,Premium,Monthly,3999,2022-11-07,2023-11-07,Active
10052,2911,Premium,Monthly,3999,2023-01-25,2024-01-25,Expired
10053,4614,Basic,Monthly,999,2022-02-09,2023-02-09,Cancelled
10054,4261,Pro,Monthly,1999,2024-02-20,2025-02-19,Active
10055,2073,Pro,Annual,1999,2023-08-04,2023-09-03,Expired
10056,3808,Premium,Annual,3999,2022-06-01,2023-06-01,Active
10057,4225,Premium,Monthly,3999,2022-07-06,2022-08-05,Active
10058,2865,Premium,Monthly,3999,2023-03-06,2024-03-05,Cancelled
10059,3619,Basic,Monthly,999,2023-04-02,2023-05-02,Active
10060,1018,Premium,Monthly,3999,2024-01-23,2025-01-22,Active
10061,4691,Premium,Monthly,3999,2022-08-15,2023-08-15,Active
10062,1333,Basic,Annual,999,2023-03-04,2023-04-03,Active
10063,2484,Basic,Annual,999,2022-07-23,2023-07-23,Expired
10064,182,Pro,Monthly,1999,2024-02-18,2025-02-17,Expired
10065,4840,Pro,Monthly,1999,2022-04-28,2022-05-28,Active
10066,1839,Basic,Monthly,999,2023-01-29,2023-02-28,Active
10067,2452,Basic,Monthly,999,2022-08-10,2022-09-09,Cancelled
10068,1953,Basic,Monthly,999,2022-03-04,2022-04-03,Active
10069,4701,Pro,Monthly,1999,2023-01-31,2024-01-31,Active
10070,263,Basic,Monthly,999,2022-01-05,2023-01-05,Cancelled
10071,661,Pro,Monthly,1999,2022-11-30,2022-12-30,Cancelled
10072,1316,Basic,Monthly,999,2022-10-19,2023-10-19,Active
10073,2920,Premium,Monthly,3999,2023-05-23,2024-05-22,Cancelled
10074,4918,Premium,Monthly,3999,2022-05-25,2022-06-24,Active
10075,2195,Premium,Annual,3999,2023-10-24,2023-11-23,Active
10076,2073,Pro,Annual,1999,2022-06-08,2023-06-08,Active
10077,2020,Basic,Annual,999,2024-02-20,2025-02-19,Active
10078,2741,Pro,Annual,1999,2022-01-11,2022-02-10,Active
10079,816,Basic,Monthly,999,2022-03-10,2022-04-09,Cancelled
10080,4778,Premium,Monthly,3999,2023-12-05,2024-01-04,Expired
10081,3419,Basic,Monthly,999,2023-09-06,2024-09-05,Active
10082,4098,Pro,Monthly,1999,2023-06-28,2023-07-28,Expired
10083,3718,Pro,Annual,1999,2022-07-21,2022-08-20,Active
10084,4735,Premium,Annual,3999,2022-09-23,2023-09-23,Active
10085,3630,Pro,Monthly,1999,2022-04-18,2022-05-18,Active
10086,2754,Pro,Monthly,1999,2022-02-23,2022-03-25,Active
10087,3368,Pro,Monthly,1999,2022-12-04,2023-01-03,Active
10088,4686,Pro,Monthly,1999,2022-07-09,2023-07-09,Expired
10089,202,Basic,Monthly,999,2022-08-27,2023-08-27,Active
10090,1005,Premium,Monthly,3999,2022-12-09,2023-01-08,Active
10091,1313,Pro,Annual,1999,2022-10-18,2023-10-18,Cancelled
10092,2026,Basic,Monthly,999,2022-11-19,2022-12-19,Active
10093,3134,Premium,Monthly,3999,2022-11-17,2023-11-17,Active
10094,3574,Pro,Monthly,1999,2024-02-24,2025-02-23,Active
10095,4222,Premium,Annual,3999,2022-02-11,2022-03-13,Active
10096,3672,Premium,Annual,3999,2022-07-17,2022-08-16,Cancelled
10097,4942,Premium,Monthly,3999,2023-09-25,2024-09-24,Active
10098,1797,Basic,Annual,999,2022-10-11,2023-10-11,Active
10099,4275,Basic,Monthly,999,2022-07-01,2023-07-01,Active
10100,1605,Premium,Monthly,3999,2023-09-04,2024-09-03,Active
10101,1903,Premium,Monthly,3999,2022-01-11,2022-02-10,Active
10102,4000,Pro,Monthly,1999,2024-01-15,2025-01-14,Active
10103,4589,Pro,Monthly,1999,2023-03-18,2023-04-17,Active
10104,3505,Basic,Annual,999,2023-09-21,2023-10-21,Active
10105,2620,Premium,Annual,3999,2023-02-28,2024-02-28,Active
10106,2350,Basic,Monthly,999,2023-05-15,2024-05-14,Expired
10107,4365,Basic,Monthly,999,2023-01-23,2024-01-23,Expired
10108,4720,Pro,Monthly,1999,2023-07-30,2023-08-29,Active
10109,2673,Basic,Monthly,999,2023-11-19,2023-12-19,Active
10110,819,Premium,Monthly,3999,2023-03-30,2024-03-29,Active
10111,2678,Basic,Monthly,999,2023-08-18,2024-08-17,Active
10112,548,Basic,Monthly,999,2022-01-02,2023-01-02,Active
10113,4433,Pro,Annual,1999,2023-12-30,2024-01-29,Active
10114,359,Pro,Monthly,1999,2022-08-30,2022-09-29,Cancelled
10115,3362,Basic,Monthly,999,2022-03-01,2023-03-01,Active
10116,1925,Pro,Monthly,1999,2023-01-03,2023-02-02,Expired
10117,4912,Pro,Monthly,1999,2023-12-16,2024-01-15,Active
10118,4456,Premium,Monthly,3999,2022-02-09,2022-03-11,Active
10119,4443,Basic,Monthly,999,2022-11-11,2022-12-11,Expired
10120,4648,Premium,Monthly,3999,2023-07-11,2024-07-10,Active
10121,2702,Pro,Annual,1999,2022-10-25,2023-10-25,Expired
10122,1931,Basic,Monthly,999,2023-09-23,2024-09-22,Active
10123,422,Basic,Monthly,999,2023-10-05,2023-11-04,Expired
10124,336,Pro,Monthly,1999,2023-03-26,2024-03-25,Expired
10125,1527,Basic,Annual,999,2023-01-30,2024-01-30,Active
10126,57,Basic,Monthly,999,2024-03-02,2024-04-01,Cancelled
10127,3951,Basic,Monthly,999,2023-07-16,2023-08-15,Active
10128,3148,Pro,Monthly,1999,2022-03-29,2022-04-28,Active
10129,3538,Pro,Monthly,1999,2023-06-17,2024-06-16,Active
10130,722,Basic,Monthly,999,2023-01-23,2024-01-23,Active
10131,4078,Pro,Annual,1999,2024-01-14,2024-02-13,Active
10132,386,Pro,Annual,1999,2023-01-16,2024-01-16,Active
10133,2818,Basic,Monthly,999,2023-07-09,2024-07-08,Cancelled
10134,2888,Premium,Monthly,3999,2023-03-07,2023-04-06,Active
10135,2720,Pro,Monthly,1999,2023-06-19,2023-07-19,Expired
10136,260,Premium,Annual,3999,2022-08-04,2023-08-04,Active
10137,4489,Basic,Monthly,999,2022-10-04,2023-10-04,Active
10138,600,Premium,Monthly,3999,2022-07-13,2022-08-12,Cancelled
10139,3256,Pro,Monthly,1999,2023-12-28,2024-01-27,Expired
10140,1040,Pro,Monthly,1999,2022-06-28,2022-07-28,Cancelled
10141,4049,Pro,Monthly,1999,2022-05-23,2022-06-22,Active
10142,756,Basic,Monthly,999,2023-06-22,2024-06-21,Active
10143,3578,Premium,Monthly,3999,2022-08-06,2023-08-06,Active
10144,3158,Pro,Annual,1999,2023-05-26,2024-05-25,Active
10145,2759,Basic,Monthly,999,2022-02-28,2023-02-28,Active
10146,477,Basic,Annual,999,2022-12-12,2023-12-12,Active
10147,1600,Basic,Monthly,999,2023-07-11,2023-08-10,Active
10148,2360,Pro,Monthly,1999,2023-02-23,2023-03-25,Cancelled
10149,1262,Pro,Monthly,1999,2022-08-12,2022-09-11,Cancelled
10150,1583,Pro,Annual,1999,2022-12-16,2023-01-15,Active
10151,2839,Basic,Monthly,999,2024-02-07,2025-02-06,Active
10152,4826,Pro,Monthly,1999,2023-09-14,2024-09-13,Active
10153,3571,Pro,Monthly,1999,2024-02-01,2024-03-02,Active
10154,1499,Basic,Monthly,999,2022-03-18,2023-03-18,Cancelled
10155,749,Basic,Annual,999,2024-03-05,2024-04-04,Active
10156,4812,Basic,Monthly,999,2023-08-22,2024-08-21,Cancelled
10157,2387,Premium,Annual,3999,2024-02-01,2025-01-31,Active
10158,531,Pro,Annual,1999,2022-07-27,2023-07-27,Expired
10159,4788,Premium,Monthly,3999,2022-06-08,2023-06-08,Active
10160,2210,Basic,Annual,999,2023-06-08,2024-06-07,Expired
10161,4064,Premium,Monthly,3999,2022-08-13,2023-08-13,Active
10162,3869,Pro,Monthly,1999,2022-12-24,2023-12-24,Active
10163,1109,Pro,Monthly,1999,2023-01-19,2023-02-18,Active
10164,490,Basic,Monthly,999,2023-06-28,2023-07-28,Active
10165,5,Pro,Monthly,1999,2023-07-20,2024-07-19,Active
10166,76,Premium,Monthly,3999,2023-05-19,2023-06-18,Expired
10167,2729,Basic,Annual,999,2023-03-26,2023-04-25,Active
10168,473,Basic,Monthly,999,2022-08-30,2022-09-29,Active
10169,3210,Pro,Monthly,1999,2023-01-04,2023-02-03,Expired
10170,1382,Premium,Monthly,3999,2023-09-19,2023-10-19,Active
10171,838,Pro,Monthly,1999,2023-04-16,2024-04-15,Active
10172,603,Basic,Monthly,999,2022-10-15,2023-10-15,Expired
10173,1187,Pro,Monthly,1999,2023-02-03,2024-02-03,Active
10174,1482,Basic,Monthly,999,2022-04-14,2022-05-14,Active
10175,3273,Premium,Monthly,3999,2022-11-07,2022-12-07,Cancelled
10176,232,Pro,Annual,1999,2022-05-07,2023-05-07,Active
10177,328,Pro,Monthly,1999,2022-02-09,2022-03-11,Cancelled
10178,950,Basic,Monthly,999,2022-03-13,2023-03-13,Active
10179,1887,Premium,Monthly,3999,2024-01-17,2025-01-16,Active
10180,4096,Pro,Monthly,1999,2022-09-04,2022-10-04,Active
10181,2298,Premium,Monthly,3999,2022-09-04,2022-10-04,Expired
10182,1308,Pro,Monthly,1999,2022-11-08,2022-12-08,Expired
10183,198,Premium,Monthly,3999,2022-02-03,2023-02-03,Active
10184,4512,Premium,Monthly,3999,2022-05-09,2023-05-09,Active
10185,2780,Basic,Monthly,999,2022-01-10,2023-01-10,Active
10186,3337,Premium,Monthly,3999,2022-06-17,2023-06-17,Active
10187,1339,Basic,Monthly,999,2024-02-23,2024-03-24,Expired
10188,1692,Pro,Monthly,1999,2022-08-04,2023-08-04,Expired
10189,216,Premium,Monthly,3999,2023-02-12,2023-03-14,Cancelled
10190,1650,Basic,Monthly,999,2024-01-22,2025-01-21,Active
10191,2863,Pro,Annual,1999,2023-06-10,2024-06-09,Active
10192,610,Pro,Monthly,1999,2023-08-25,2024-08-24,Active
10193,2559,Pro,Annual,1999,2022-01-18,2023-01-18,Active
10194,918,Premium,Annual,3999,2022-12-06,2023-12-06,Active
10195,4253,Pro,Annual,1999,2023-11-12,2024-11-11,Cancelled
10196,162,Premium,Monthly,3999,2023-07-22,2023-08-21,Active
10197,4138,Basic,Annual,999,2023-11-07,2024-11-06,Active
10198,2812,Basic,Annual,999,2023-10-26,2023-11-25,Active
10199,3422,Pro,Monthly,1999,2022-03-31,2022-04-30,Expired
10200,4216,Pro,Monthly,1999,2022-10-12,2023-10-12,Cancelled
10201,1099,Basic,Annual,999,2023-06-18,2024-06-17,Active
10202,2722,Pro,Monthly,1999,2022-09-24,2023-09-24,Expired
10203,2709,Basic,Monthly,999,2023-03-09,2023-04-08,Active
10204,123,Pro,Annual,1999,2024-01-28,2024-02-27,Active
10205,2701,Basic,Monthly,999,2023-10-13,2023-11-12,Active
10206,3254,Pro,Monthly,1999,2022-02-21,2022-03-23,Active
10207,3062,Pro,Monthly,1999,2022-03-08,2023-03-08,Active
10208,3962,Premium,Monthly,3999,2023-08-20,2023-09-19,Active
10209,789,Pro,Annual,1999,2022-09-07,2022-10-07,Active
10210,257,Pro,Monthly,1999,2022-11-27,2022-12-27,Active
10211,4026,Premium,Annual,3999,2023-02-19,2023-03-21,Active
10212,3655,Pro,Monthly,1999,2022-05-03,2023-05-03,Cancelled
10213,3252,Basic,Monthly,999,2022-07-21,2023-07-21,Active
10214,3590,Premium,Monthly,3999,2022-01-06,2023-01-06,Active
10215,4776,Pro,Monthly,1999,2023-05-01,2024-04-30,Active
10216,608,Pro,Annual,1999,2022-07-18,2023-07-18,Active
10217,4427,Pro,Monthly,1999,2024-01-06,2024-02-05,Active
10218,3928,Premium,Annual,3999,2022-01-13,2022-02-12,Active
10219,2153,Premium,Monthly,3999,2022-01-06,2022-02-05,Active
10220,547,Premium,Monthly,3999,2023-02-15,2023-03-17,Cancelled
10221,4889,Basic,Monthly,999,2022-05-01,2022-05-31,Active
10222,1905,Pro,Monthly,1999,2023-07-11,2024-07-10,Cancelled
10223,1683,Basic,Monthly,999,2022-12-28,2023-01-27,Cancelled
10224,489,Basic,Monthly,999,2023-06-22,2024-06-21,Active
10225,1823,Premium,Monthly,3999,2022-01-04,2023-01-04,Active
10226,3122,Basic,Monthly,999,2024-02-28,2025-02-27,Active
10227,3775,Pro,Monthly,1999,2022-10-11,2022-11-10,Active
10228,3073,Pro,Monthly,1999,2023-12-23,2024-01-22,Active
10229,3453,Pro,Annual,1999,2024-03-10,2024-04-09,Active
10230,650,Basic,Monthly,999,2022-12-25,2023-12-25,Active
10231,648,Basic,Monthly,999,2023-11-24,2024-11-23,Active
10232,381,Pro,Monthly,1999,2024-02-04,2024-03-05,Active
10233,2067,Basic,Monthly,999,2022-10-09,2023-10-09,Active
10234,1864,Premium,Monthly,3999,2023-10-19,2024-10-18,Active
10235,2291,Premium,Annual,3999,2023-09-20,2024-09-19,Expired
10236,4225,Pro,Annual,1999,2022-12-15,2023-01-14,Active
10237,1200,Premium,Monthly,3999,2022-01-30,2023-01-30,Active
10238,4505,Basic,Monthly,999,2024-01-24,2024-02-23,Active
10239,4888,Pro,Monthly,1999,2023-06-01,2023-07-01,Active
10240,2991,Basic,Annual,999,2023-01-09,2024-01-09,Active
10241,1108,Pro,Monthly,1999,2024-02-13,2025-02-12,Active
10242,3448,Pro,Monthly,1999,2023-09-10,2024-09-09,Cancelled
10243,222,Basic,Annual,999,2022-05-04,2022-06-03,Active
10244,1440,Basic,Monthly,999,2023-03-22,2023-04-21,Active
10245,618,Pro,Monthly,1999,2023-01-29,2024-01-29,Active
10246,2571,Pro,Annual,1999,2023-10-12,2024-10-11,Active
10247,2756,Basic,Annual,999,2023-09-10,2023-10-10,Active
10248,2791,Pro,Monthly,1999,2023-12-26,2024-12-25,Active
10249,3943,Pro,Monthly,1999,2022-02-25,2022-03-27,Active
10250,3310,Pro,Monthly,1999,2022-05-12,2023-05-12,Active
10251,4055,Pro,Annual,1999,2024-02-20,2025-02-19,Active
10252,225,Basic,Annual,999,2022-05-02,2023-05-02,Active
10253,2242,Pro,Annual,1999,2022-07-21,2022-08-20,Cancelled
10254,4153,Premium,Monthly,3999,2023-12-21,2024-12-20,Expired
10255,3697,Pro,Monthly,1999,2024-02-26,2025-02-25,Active
10256,3351,Pro,Monthly,1999,2023-08-25,2023-09-24,Active
10257,3828,Pro,Monthly,1999,2023-12-03,2024-01-02,Active
10258,1404,Basic,Monthly,999,2022-09-22,2022-10-22,Expired
10259,4213,Pro,Monthly,1999,2023-07-12,2023-08-11,Active
10260,410,Premium,Monthly,3999,2022-02-09,2022-03-11,Active
10261,1917,Basic,Annual,999,2023-08-02,2023-09-01,Active
10262,3439,Premium,Monthly,3999,2022-04-23,2022-05-23,Active
10263,4068,Basic,Monthly,999,2022-12-05,2023-01-04,Active
10264,2860,Pro,Monthly,1999,2022-03-03,2023-03-03,Active
10265,1984,Premium,Monthly,3999,2022-08-15,2023-08-15,Active
10266,2052,Premium,Monthly,3999,2022-06-23,2023-06-23,Expired
10267,3702,Premium,Monthly,3999,2022-05-14,2023-05-14,Expired
10268,23,Premium,Monthly,3999,2022-10-12,2022-11-11,Cancelled
10269,2969,Pro,Monthly,1999,2024-02-26,2024-03-27,Active
10270,745,Pro,Monthly,1999,2023-09-18,2023-10-18,Expired
10271,602,Basic,Monthly,999,2022-04-18,2022-05-18,Expired
10272,3036,Basic,Monthly,999,2022-05-23,2022-06-22,Expired
10273,1843,Pro,Monthly,1999,2023-07-23,2024-07-22,Active
10274,2675,Pro,Monthly,1999,2022-10-21,2023-10-21,Active
10275,4177,Pro,Monthly,1999,2022-10-04,2022-11-03,Active
10276,2663,Premium,Monthly,3999,2023-05-07,2024-05-06,Expired
10277,483,Pro,Monthly,1999,2023-07-17,2023-08-16,Active
10278,4037,Basic,Monthly,999,2023-04-16,2023-05-16,Active
10279,2640,Pro,Annual,1999,2022-10-03,2023-10-03,Active
10280,3312,Pro,Monthly,1999,2022-08-22,2023-08-22,Active
10281,4129,Pro,Monthly,1999,2022-08-30,2022-09-29,Expired
10282,4376,Premium,Monthly,3999,2022-09-15,2023-09-15,Active
10283,3826,Pro,Monthly,1999,2024-01-19,2024-02-18,Active
10284,2200,Premium,Monthly,3999,2022-02-01,2022-03-03,Expired
10285,1683,Pro,Monthly,1999,2023-01-02,2024-01-02,Active
10286,4797,Pro,Annual,1999,2022-12-14,2023-01-13,Expired
10287,3609,Pro,Monthly,1999,2024-01-30,2024-02-29,Active
10288,1019,Basic,Monthly,999,2022-05-12,2023-05-12,Active
10289,4761,Basic,Monthly,999,2024-02-14,2024-03-15,Active
10290,2971,Basic,Monthly,999,2024-02-10,2024-03-11,Active
10291,1312,Pro,Monthly,1999,2024-03-03,2025-03-03,Active
10292,1419,Basic,Monthly,999,2023-01-03,2024-01-03,Expired
10293,2501,Premium,Annual,3999,2024-02-01,2025-01-31,Active
10294,2668,Pro,Annual,1999,2022-09-22,2022-10-22,Active
10295,1387,Pro,Monthly,1999,2022-08-03,2022-09-02,Expired
10296,1145,Basic,Annual,999,2022-08-03,2023-08-03,Active
10297,2064,Basic,Monthly,999,2022-10-09,2023-10-09,Active
10298,4835,Basic,Monthly,999,2023-06-14,2023-07-14,Active
10299,1547,Pro,Monthly,1999,2022-01-02,2023-01-02,Active
10300,2146,Pro,Monthly,1999,2023-05-28,2023-06-27,Active
10301,2164,Pro,Annual,1999,2023-04-09,2023-05-09,Expired
10302,3013,Pro,Monthly,1999,2023-03-23,2024-03-22,Active
10303,4445,Pro,Monthly,1999,2022-12-29,2023-01-28,Active
10304,4328,Basic,Monthly,999,2022-08-04,2023-08-04,Active
10305,3183,Pro,Monthly,1999,2022-06-13,2022-07-13,Active
10306,3424,Pro,Monthly,1999,2023-12-04,2024-01-03,Cancelled
10307,4002,Pro,Annual,1999,2023-08-10,2023-09-09,Active
10308,3560,Basic,Monthly,999,2023-06-22,2024-06-21,Expired
10309,1557,Pro,Annual,1999,2023-05-26,2023-06-25,Active
10310,2687,Basic,Annual,999,2024-02-13,2024-03-14,Active
10311,2333,Premium,Monthly,3999,2024-03-04,2025-03-04,Cancelled
10312,1657,Pro,Monthly,1999,2022-08-09,2023-08-09,Active
10313,545,Premium,Monthly,3999,2023-07-09,2023-08-08,Active
10314,392,Pro,Annual,1999,2023-09-26,2024-09-25,Cancelled
10315,1989,Basic,Monthly,999,2023-10-03,2023-11-02,Active
10316,4086,Pro,Monthly,1999,2024-02-16,2024-03-17,Active
10317,297,Basic,Monthly,999,2022-10-10,2022-11-09,Active
10318,1087,Premium,Monthly,3999,2022-03-12,2022-04-11,Cancelled
10319,4366,Premium,Monthly,3999,2023-01-09,2023-02-08,Active
10320,3262,Pro,Monthly,1999,2022-09-16,2022-10-16,Expired
10321,4606,Pro,Monthly,1999,2023-03-21,2024-03-20,Active
10322,1117,Pro,Monthly,1999,2022-07-20,2022-08-19,Cancelled
10323,1077,Premium,Monthly,3999,2023-10-04,2023-11-03,Active
10324,496,Basic,Monthly,999,2023-01-15,2024-01-15,Active
10325,2996,Pro,Monthly,1999,2023-08-16,2023-09-15,Active
10326,94,Pro,Monthly,1999,2024-02-05,2024-03-06,Active
10327,4721,Premium,Monthly,3999,2023-02-19,2023-03-21,Active
10328,4325,Premium,Monthly,3999,2022-03-06,2022-04-05,Active
10329,721,Premium,Monthly,3999,2023-01-13,2024-01-13,Expired
10330,4363,Pro,Monthly,1999,2023-10-20,2023-11-19,Active
10331,4377,Basic,Monthly,999,2023-10-08,2024-10-07,Expired
10332,4027,Pro,Annual,1999,2022-04-12,2023-04-12,Active
10333,4056,Pro,Monthly,1999,2022-02-11,2023-02-11,Active
10334,1107,Pro,Monthly,1999,2022-07-15,2022-08-14,Expired
10335,3933,Basic,Annual,999,2022-12-26,2023-01-25,Expired
10336,3723,Pro,Monthly,1999,2024-02-11,2025-02-10,Active
10337,1372,Basic,Monthly,999,2022-04-09,2023-04-09,Active
10338,423,Premium,Monthly,3999,2023-01-23,2023-02-22,Active
10339,2006,Basic,Annual,999,2022-03-06,2022-04-05,Active
10340,4550,Pro,Monthly,1999,2022-10-24,2022-11-23,Cancelled
10341,4603,Basic,Monthly,999,2023-03-03,2023-04-02,Active
10342,4412,Basic,Monthly,999,2022-08-11,2022-09-10,Active
10343,764,Premium,Annual,3999,2024-01-27,2025-01-26,Active
10344,3369,Basic,Monthly,999,2023-11-26,2024-11-25,Active
10345,898,Basic,Monthly,999,2022-05-29,2023-05-29,Active
10346,953,Basic,Monthly,999,2023-05-24,2023-06-23,Expired
10347,2923,Pro,Monthly,1999,2023-03-18,2024-03-17,Active
10348,4480,Pro,Monthly,1999,2023-02-18,2023-03-20,Active
10349,3198,Basic,Annual,999,2022-04-26,2023-04-26,Cancelled
10350,4199,Pro,Monthly,1999,2023-03-29,2023-04-28,Active
10351,900,Basic,Monthly,999,2022-11-16,2023-11-16,Cancelled
10352,4024,Premium,Monthly,3999,2024-02-09,2025-02-08,Active
10353,4206,Premium,Monthly,3999,2023-03-27,2023-04-26,Active
10354,3642,Premium,Monthly,3999,2022-03-20,2022-04-19,Active
10355,3544,Premium,Annual,3999,2024-01-13,2025-01-12,Expired
10356,3642,Basic,Monthly,999,2022-12-23,2023-12-23,Expired
10357,4766,Basic,Monthly,999,2022-04-29,2022-05-29,Active
10358,3091,Pro,Monthly,1999,2023-08-09,2023-09-08,Active
10359,4480,Basic,Monthly,999,2023-06-05,2023-07-05,Active
10360,762,Basic,Monthly,999,2022-10-06,2023-10-06,Active
10361,2408,Basic,Monthly,999,2024-02-21,2025-02-20,Cancelled
10362,886,Pro,Monthly,1999,2023-07-20,2023-08-19,Active
10363,2644,Pro,Monthly,1999,2022-02-14,2023-02-14,Active
10364,3244,Basic,Monthly,999,2022-08-13,2022-09-12,Active
10365,1236,Basic,Monthly,999,2023-06-12,2024-06-11,Active
10366,2934,Pro,Annual,1999,2023-12-25,2024-01-24,Cancelled
10367,1469,Basic,Monthly,999,2023-12-13,2024-01-12,Active
10368,10,Premium,Annual,3999,2022-08-29,2023-08-29,Active
10369,792,Basic,Monthly,999,2023-09-06,2023-10-06,Active
10370,1663,Pro,Monthly,1999,2023-04-27,2023-05-27,Active
10371,744,Pro,Annual,1999,2022-04-05,2023-04-05,Active
10372,2429,Basic,Monthly,999,2022-12-31,2023-12-31,Expired
10373,3494,Pro,Monthly,1999,2022-07-04,2023-07-04,Active
10374,4547,Pro,Monthly,1999,2022-05-16,2023-05-16,Active
10375,1117,Premium,Monthly,3999,2022-01-25,2022-02-24,Cancelled
10376,2442,Pro,Monthly,1999,2022-11-14,2022-12-14,Active
10377,1355,Basic,Monthly,999,2022-11-29,2022-12-29,Active
10378,2481,Basic,Monthly,999,2023-07-16,2023-08-15,Active
10379,3002,Basic,Monthly,999,2023-11-12,2023-12-12,Active
10380,1187,Basic,Monthly,999,2022-04-10,2023-04-10,Active
10381,4088,Pro,Monthly,1999,2023-01-05,2024-01-05,Active
10382,2832,Premium,Monthly,3999,2023-08-16,2023-09-15,Active
10383,3662,Pro,Annual,1999,2022-01-12,2023-01-12,Active
10384,1749,Pro,Monthly,1999,2023-12-21,2024-12-20,Active
10385,2864,Pro,Monthly,1999,2022-03-18,2023-03-18,Active
10386,1115,Premium,Annual,3999,2023-08-10,2024-08-09,Active
10387,3265,Basic,Monthly,999,2023-11-13,2024-11-12,Expired
10388,3091,Pro,Monthly,1999,2022-12-14,2023-01-13,Expired
10389,1064,Premium,Annual,3999,2023-03-19,2024-03-18,Active
10390,3749,Basic,Annual,999,2023-11-22,2023-12-22,Cancelled
10391,4546,Basic,Monthly,999,2022-03-29,2022-04-28,Active
10392,2733,Premium,Monthly,3999,2023-04-10,2023-05-10,Cancelled
10393,1873,Pro,Monthly,1999,2024-02-16,2024-03-17,Active
10394,4721,Basic,Annual,999,2023-05-09,2023-06-08,Active
10395,1970,Pro,Annual,1999,2022-08-10,2023-08-10,Expired
10396,885,Pro,Monthly,1999,2023-05-30,2023-06-29,Expired
10397,3964,Pro,Monthly,1999,2022-04-28,2022-05-28,Active
10398,3679,Basic,Annual,999,2022-05-16,2022-06-15,Expired
10399,319,Basic,Monthly,999,2022-07-06,2023-07-06,Active
